timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
1906532,25.75,101262.78,41.77,204612.7
1906678,25.75,101262.27,41.75,204867.28
1906814,25.75,101261.84,41.76,205250.28
1906961,25.75,101262.11,41.75,204867.28
1907097,25.74,101262.34,41.75,204358.78
1907244,25.75,101262.18,41.73,204105.48
1907380,25.74,101260.98,41.76,204612.7
1907526,25.75,101263.55,41.76,204358.78
1907663,25.74,101262.66,41.73,204485.69
1907810,25.72,101262.24,41.75,203979.06
1907956,25.73,101264.29,41.77,203852.81
1908092,25.73,101264.29,41.74,204739.91
1908239,25.73,101263.27,41.75,203600.78
1908375,25.72,101262.49,41.75,204612.7
1908521,25.72,101263.43,41.76,204867.28
1908658,25.72,101263.59,41.77,204485.69
1908804,25.72,101263.19,41.76,205378.28
1908941,25.71,101263.33,41.76,205763.22
1909088,25.71,101262.65,41.77,205378.28
1909224,25.71,101261.73,41.76,205506.44
1909370,25.71,101263.5,41.75,206537.45
1909517,25.7,101262.3,41.76,206149.61
1909653,25.71,101262.99,41.75,205122.45
1909799,25.71,101263.33,41.75,205378.28
1909936,25.71,101265.63,41.76,205763.22
1910082,25.72,101264.28,41.78,205634.75
1910219,25.71,101263.59,41.75,206278.73
1910366,25.71,101264.44,41.76,205506.44
1910502,25.71,101263.5,41.75,204105.48
1910648,25.7,101263.66,41.76,205122.45
1910795,25.7,101262.64,41.77,204994.78
1910931,25.69,101263.99,41.76,204358.78
1911077,25.69,101262.03,41.76,205763.22
1911214,25.68,101262.36,41.76,206020.66
1911360,25.68,101260.91,41.77,204867.28
1911497,25.69,101264.16,41.76,205506.44
1911644,25.7,101264.07,41.78,205506.44
1911780,25.69,101263.83,41.78,205122.45
1911926,25.7,101262.73,41.79,205250.28
1912073,25.7,101261.79,41.78,206020.66
1912209,25.7,101263.49,41.79,205891.86
1912355,25.7,101262.81,41.79,206020.66
1912492,25.7,101264.41,41.79,205122.45
1912638,25.7,101264.58,41.8,206537.45
1912775,25.7,101264.68,41.8,205506.44
1912922,25.69,101263.23,41.79,204739.91
1913058,25.69,101262.88,41.8,204485.69
1913204,25.7,101263.73,41.81,203474.98
1913340,25.69,101262.88,41.81,203098.55
1913487,25.69,101263.83,41.83,203726.7
1913633,25.69,101263.32,41.83,203852.81
1913769,25.69,101264.51,41.83,202973.39
1913916,25.69,101263.14,41.83,203600.78
1914053,25.69,101266.38,41.84,204867.28
1914200,25.68,101263.81,41.84,204485.69
1914336,25.68,101264.82,41.85,205122.45
1914482,25.67,101261.84,41.86,203979.06
1914618,25.68,101264.06,41.85,204105.48
1914765,25.67,101262.09,41.87,204485.69
1914911,25.68,101264.84,41.86,204739.91
1915047,25.68,101263.55,41.87,203979.06
1915194,25.68,101264.34,41.87,204358.78
1915331,25.69,101265.7,41.88,204358.78
1915478,25.68,101262.12,41.88,205506.44
1915614,25.7,101263.32,41.88,205634.75
1915760,25.7,101263.32,41.89,203852.81
1915896,25.7,101263.66,41.88,205378.28
1916043,25.7,101260.43,41.91,205122.45
1916179,25.71,101263.58,41.91,205122.45
1916325,25.69,101261.45,41.88,205122.45
1916472,25.71,101263.33,41.89,204994.78
1916609,25.7,101263.66,41.9,204867.28
1916755,25.71,101261.46,41.88,205378.28
1916892,25.7,101261.28,41.91,204105.48
1917038,25.71,101264.35,41.91,204485.69
1917174,25.71,101264.02,41.9,204994.78
1917321,25.7,101263.24,41.91,205122.45
1917457,25.69,101262.98,41.91,204739.91
1917603,25.7,101261.11,41.91,205122.45
1917750,25.7,101264.17,41.91,205250.28
1917886,25.7,101261.45,41.92,205250.28
1918033,25.71,101261.72,41.92,204358.78
1918170,25.71,101263.58,41.91,206537.45
1918316,25.7,101263.83,41.89,204739.91
