timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
2026-02-14 16:37:08,21.60,1012.10,49.98,123641.63
2026-02-14 16:37:13,21.60,1012.11,49.85,128481.81
2026-02-14 16:37:18,21.59,1012.11,49.79,129949.24
2026-02-14 16:37:23,21.58,1012.12,49.77,131147.54
2026-02-14 16:37:28,21.58,1012.13,49.77,131551.90
2026-02-14 16:37:33,21.59,1012.12,49.79,132060.87
2026-02-14 16:37:38,21.59,1012.10,49.77,132470.89
2026-02-14 16:37:43,21.60,1012.11,49.77,131856.81
2026-02-14 16:37:48,21.60,1012.10,49.73,132883.47
2026-02-14 16:37:53,21.60,1012.14,49.72,132163.14
2026-02-14 16:37:58,21.59,1012.13,49.71,133402.81
2026-02-14 16:38:03,21.59,1012.12,49.71,133716.38
2026-02-14 16:38:08,21.61,1012.13,49.70,131755.02
2026-02-14 16:38:13,21.63,1012.14,49.68,132676.86
2026-02-14 16:38:18,21.63,1012.13,49.65,132780.08
2026-02-14 16:38:23,21.64,1012.12,49.63,133090.72
2026-02-14 16:38:28,21.64,1012.14,49.66,133090.72
2026-02-14 16:38:33,21.65,1012.11,49.67,133611.69
2026-02-14 16:38:38,21.65,1012.12,49.64,133298.62
2026-02-14 16:38:43,21.64,1012.14,49.65,133926.24
2026-02-14 16:38:48,21.64,1012.12,49.64,134453.78
2026-02-14 16:38:53,21.65,1012.11,49.67,133194.59
2026-02-14 16:38:58,21.69,1012.10,49.87,131248.40
2026-02-14 16:39:03,21.73,1012.09,50.00,131349.41
2026-02-14 16:39:08,21.75,1012.09,50.04,133090.72
2026-02-14 16:39:13,21.77,1012.12,49.96,131450.58
2026-02-14 16:39:18,21.79,1012.12,49.84,130645.57
2026-02-14 16:39:23,21.81,1012.12,49.84,131551.90
2026-02-14 16:39:28,21.82,1012.11,49.74,131958.76
2026-02-14 16:39:33,21.84,1012.11,49.83,130545.64
2026-02-14 16:39:38,21.83,1012.09,49.67,131551.90
2026-02-14 16:39:43,21.84,1012.10,50.06,130645.57
2026-02-14 16:39:48,21.87,1012.12,50.10,129554.66
2026-02-14 16:39:53,21.89,1012.11,50.01,129456.38
2026-02-14 16:39:58,21.90,1012.09,49.80,131147.54
2026-02-14 16:40:03,21.92,1012.11,49.74,131551.90
2026-02-14 16:40:08,21.93,1012.12,49.61,130946.29
2026-02-14 16:40:13,21.95,1012.11,49.42,131046.84
2026-02-14 16:40:18,21.94,1012.11,49.30,132470.89
2026-02-14 16:40:23,21.94,1012.10,49.29,132573.80
2026-02-14 16:40:28,21.95,1012.10,49.30,132163.14
2026-02-14 16:40:33,21.95,1012.10,49.23,132470.89
2026-02-14 16:40:38,21.93,1012.11,49.16,133194.59
2026-02-14 16:40:43,21.92,1012.14,49.19,134031.41
2026-02-14 16:40:48,21.89,1012.15,49.13,134031.41
2026-02-14 16:40:53,21.87,1012.18,49.11,134347.94
2026-02-14 16:40:58,21.86,1012.14,49.13,134453.78
2026-02-14 16:41:03,21.86,1012.12,49.17,133507.17
2026-02-14 16:41:08,21.88,1012.13,49.29,132265.56
2026-02-14 16:41:13,21.87,1012.15,49.27,133402.81
2026-02-14 16:41:18,21.85,1012.11,49.19,134559.79
2026-02-14 16:41:23,21.85,1012.09,49.23,133611.69
2026-02-14 16:41:28,21.85,1012.10,49.27,132883.47
2026-02-14 16:41:33,21.86,1012.11,49.41,132265.56
2026-02-14 16:41:38,21.88,1012.13,49.63,131147.54
2026-02-14 16:41:43,21.88,1012.12,49.70,132265.56
2026-02-14 16:41:48,21.87,1012.14,49.55,133090.72
2026-02-14 16:41:53,21.87,1012.10,49.38,133507.17
2026-02-14 16:41:58,21.86,1012.10,49.27,133926.24
