timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
2026-02-14 18:12:52,23.60,1012.72,50.60,99090.38
2026-02-14 18:13:02,23.77,1012.68,53.31,100966.28
2026-02-14 18:13:07,23.64,1012.71,54.00,91135.64
2026-02-14 18:13:12,23.79,1012.73,54.50,94377.88
2026-02-14 18:13:23,23.79,1012.69,55.17,99263.28
2026-02-14 18:13:33,23.84,1012.74,55.63,98065.50
2026-02-14 18:13:38,23.70,1012.73,55.92,88858.04
2026-02-14 18:13:43,23.74,1012.72,56.30,95433.36
2026-02-14 18:13:48,23.77,1012.73,56.42,87491.46
2026-02-14 18:13:53,23.86,1012.73,56.63,92020.13
2026-02-14 18:13:58,23.86,1012.74,56.64,95326.75
2026-02-14 18:14:03,23.74,1012.87,56.65,87401.84
2026-02-14 18:14:08,23.91,1012.75,56.53,97896.75
2026-02-14 18:14:13,23.87,1012.73,56.58,98009.19
2026-02-14 18:14:18,23.87,1012.74,56.63,96731.53
2026-02-14 18:14:23,23.78,1012.78,56.94,86691.50
2026-02-14 18:14:28,23.95,1012.75,56.95,94065.77
2026-02-14 18:14:33,23.89,1012.75,57.15,94065.77
2026-02-14 18:14:38,23.92,1012.73,57.34,91723.40
2026-02-14 18:14:43,23.77,1012.77,57.73,82580.65
2026-02-14 18:14:48,23.95,1012.74,57.73,89323.10
2026-02-14 18:14:53,23.90,1012.75,57.67,90363.57
2026-02-14 18:14:58,23.91,1012.75,57.50,91428.57
2026-02-14 18:15:03,23.90,1012.75,57.42,92020.13
2026-02-14 18:15:08,23.92,1012.76,57.39,94273.61
2026-02-14 18:15:13,23.84,1012.89,57.69,85733.42
2026-02-14 18:15:18,23.95,1012.88,57.60,92219.02
2026-02-14 18:15:23,23.92,1012.77,57.60,94065.77
2026-02-14 18:15:28,23.92,1012.76,57.61,94117.65
2026-02-14 18:15:33,23.93,1012.75,57.76,91330.72
2026-02-14 18:15:38,23.95,1012.88,57.77,91624.91
2026-02-14 18:15:43,23.83,1012.89,58.09,83714.85
2026-02-14 18:15:48,24.00,1012.87,57.98,90844.57
2026-02-14 18:15:53,23.94,1012.77,58.04,94065.77
2026-02-14 18:15:58,23.97,1012.87,58.01,91921.01
2026-02-14 18:16:03,23.89,1012.89,58.10,83797.05
2026-02-14 18:16:08,24.01,1012.88,58.04,90267.98
2026-02-14 18:16:13,23.84,1012.79,58.05,84293.71
2026-02-14 18:16:23,23.90,1012.87,57.90,84460.57
2026-02-14 18:16:28,23.88,1012.77,58.17,89982.43
2026-02-14 18:16:38,24.00,1012.77,58.05,91233.07
2026-02-14 18:16:44,23.96,1012.76,58.08,90844.57
2026-02-14 18:16:49,23.98,1012.77,58.03,90941.39
2026-02-14 18:16:54,23.96,1012.87,58.08,90363.57
2026-02-14 18:16:59,23.99,1012.79,58.09,90459.36
2026-02-14 18:17:04,23.90,1012.89,58.45,82421.12
2026-02-14 18:17:09,24.05,1012.89,58.40,88123.92
2026-02-14 18:17:26,23.96,1012.78,57.73,94955.49
2026-02-14 18:17:31,23.97,1012.87,57.30,95273.54
2026-02-14 18:17:36,23.98,1012.79,57.38,94482.38
2026-02-14 18:17:45,23.96,1012.87,57.80,91038.41
