timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
2026-02-14 17:48:28,23.66,1012.65,47.93,165964.34
2026-02-14 17:48:38,23.69,1012.63,48.63,153293.41
2026-02-14 17:48:43,23.76,1012.62,48.46,160200.25
2026-02-14 17:48:48,23.80,1012.66,48.02,168255.01
2026-02-14 17:48:53,23.79,1012.65,47.62,172506.74
2026-02-14 17:48:58,23.82,1012.63,47.45,174803.69
2026-02-14 17:49:03,23.74,1012.67,47.48,160652.65
2026-02-14 17:49:08,23.90,1012.66,47.40,168754.12
2026-02-14 17:49:13,23.74,1012.64,47.26,159303.05
2026-02-14 17:49:18,23.86,1012.64,47.29,168921.15
2026-02-14 17:49:23,23.85,1012.69,47.24,161565.16
2026-02-14 17:49:28,23.97,1012.73,47.14,166938.38
2026-02-14 17:49:33,23.89,1012.66,47.02,174624.83
2026-02-14 17:49:38,23.90,1012.64,47.10,170951.59
2026-02-14 17:49:43,23.89,1012.62,47.25,169592.58
2026-02-14 17:49:48,23.91,1012.65,47.27,169930.30
2026-02-14 17:49:53,23.85,1012.68,47.59,155812.54
2026-02-14 17:49:58,23.99,1012.71,47.35,170099.67
2026-02-14 17:50:03,23.93,1012.65,47.08,176066.02
2026-02-14 17:50:08,23.95,1012.68,46.95,180154.82
2026-02-14 17:50:13,23.89,1012.72,47.15,166775.24
2026-02-14 17:50:18,24.01,1012.71,47.04,175884.58
2026-02-14 17:50:23,23.96,1012.67,47.16,176430.05
2026-02-14 17:50:28,23.95,1012.67,47.37,174268.21
2026-02-14 17:50:33,23.94,1012.69,47.27,161871.64
2026-02-14 17:50:38,24.05,1012.70,46.88,180727.14
2026-02-14 17:50:43,23.99,1012.67,46.61,183053.27
2026-02-14 17:50:48,24.01,1012.63,46.56,179586.11
2026-02-14 17:50:53,23.92,1012.68,46.75,161871.64
2026-02-14 17:50:58,24.08,1012.71,46.55,174090.45
2026-02-14 17:51:03,23.99,1012.71,46.38,178646.20
2026-02-14 17:51:08,24.00,1012.70,46.33,175162.50
2026-02-14 17:51:13,23.89,1012.72,46.60,159154.49
2026-02-14 17:51:18,24.07,1012.73,46.54,173031.43
2026-02-14 17:51:23,24.00,1012.69,46.39,178086.96
2026-02-14 17:51:28,24.01,1012.70,46.35,178646.20
2026-02-14 17:51:33,23.93,1012.69,46.55,165964.34
2026-02-14 17:51:38,24.09,1012.71,46.48,172506.74
2026-02-14 17:51:43,23.98,1012.67,46.59,173207.04
2026-02-14 17:51:48,24.01,1012.68,46.76,170269.37
2026-02-14 17:51:53,23.95,1012.77,47.11,159451.88
2026-02-14 17:51:58,24.11,1012.75,47.07,168587.42
2026-02-14 17:52:03,24.02,1012.66,47.07,171466.85
2026-02-14 17:52:08,24.04,1012.64,47.08,171466.85
2026-02-14 17:52:13,23.97,1012.75,47.26,160050.02
2026-02-14 17:52:18,24.13,1012.74,47.06,169930.30
2026-02-14 17:52:23,23.93,1012.69,46.70,165161.29
2026-02-14 17:52:28,24.05,1012.68,46.87,176795.58
2026-02-14 17:52:33,24.04,1012.68,47.20,168921.15
2026-02-14 17:52:38,24.06,1012.67,47.12,171466.85
2026-02-14 17:52:43,23.99,1012.76,46.87,165964.34
2026-02-14 17:52:48,24.13,1012.72,46.61,179208.96
2026-02-14 17:52:53,24.06,1012.66,46.70,177716.07
2026-02-14 17:52:58,24.08,1012.66,46.87,175884.58
2026-02-14 17:53:03,24.00,1012.72,46.87,167429.69
2026-02-14 17:53:08,24.13,1012.71,46.62,176978.91
2026-02-14 17:53:13,24.07,1012.67,46.59,176066.02
2026-02-14 17:53:18,24.09,1012.66,46.71,174803.69
