timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms,label,notes
440895,25.83,101244.94,49.95,1011.64,alcohol,n/a
441041,25.83,101245.02,49.96,1008.49,alcohol,n/a
441178,25.82,101241.71,49.96,1005.36,alcohol,n/a
441324,25.81,101241.95,49.98,999.93,alcohol,n/a
441460,25.83,101244.18,49.99,999.16,alcohol,n/a
441607,25.82,101243.66,50.01,1002.25,alcohol,n/a
441743,25.83,101243.58,50.03,999.16,alcohol,n/a
441889,25.82,101242.9,50.04,998.39,alcohol,n/a
442036,25.83,101242.99,50.05,1003.03,alcohol,n/a
442172,25.83,101244.69,50.06,1003.03,alcohol,n/a
442318,25.82,101243.23,50.08,1002.25,alcohol,n/a
442455,25.83,101245.28,50.09,1006.92,alcohol,n/a
442601,25.83,101245.02,50.11,1007.71,alcohol,n/a
442737,25.82,101241.45,50.11,1008.49,alcohol,n/a
442884,25.83,101244.18,50.12,1007.71,alcohol,n/a
443030,25.83,101244.09,50.12,1007.71,alcohol,n/a
443166,25.83,101243.41,50.16,1010.06,alcohol,n/a
443313,25.83,101245.54,50.18,1009.28,alcohol,n/a
443449,25.83,101246.55,50.17,1012.43,alcohol,n/a
443595,25.82,101243.74,50.2,1018.8,alcohol,n/a
443731,25.82,101243.83,50.2,1024.44,alcohol,n/a
443878,25.82,101244.51,50.19,1033.43,alcohol,n/a
444014,25.83,101245.11,50.2,1044.26,alcohol,n/a
444161,25.82,101244.59,50.2,1051.04,alcohol,n/a
444307,25.82,101245.95,50.2,1063.11,alcohol,n/a
444443,25.82,101244.51,50.21,1073.68,alcohol,n/a
444590,25.82,101244.26,50.21,1091.78,alcohol,n/a
444726,25.82,101244.16,50.18,1105.76,alcohol,n/a
444872,25.82,101244.51,50.2,1123.01,alcohol,n/a
445008,25.82,101244.77,50.19,1141.82,alcohol,n/a
445155,25.82,101244.09,50.17,1157.12,alcohol,n/a
445291,25.81,101243.23,50.18,1167.54,alcohol,n/a
445437,25.82,101243.49,50.13,1185.71,alcohol,n/a
445584,25.81,101243.32,50.13,1194.46,alcohol,n/a
445720,25.82,101245.11,50.11,1201.1,alcohol,n/a
445867,25.81,101242.88,50.09,1204.45,alcohol,n/a
446003,25.81,101245.36,50.09,1207.82,alcohol,n/a
446149,25.81,101244.08,50.04,1207.82,alcohol,n/a
446285,25.81,101244.51,50.05,1198.88,alcohol,n/a
446432,25.81,101244.92,50.03,1198.88,alcohol,n/a
446578,25.82,101245.28,50.0,1203.33,alcohol,n/a
446714,25.81,101244.66,49.97,1203.33,alcohol,n/a
446861,25.81,101242.88,49.96,1210.08,alcohol,n/a
446997,25.8,101243.98,49.94,1210.08,alcohol,n/a
447143,25.8,101242.96,49.96,1204.45,alcohol,n/a
447280,25.81,101244.91,49.93,1204.45,alcohol,n/a
447426,25.8,101243.55,49.9,1203.33,alcohol,n/a
447562,25.8,101242.11,49.9,1203.33,alcohol,n/a
447709,25.8,101244.41,49.86,1196.66,alcohol,n/a
447855,25.8,101244.58,49.86,1195.56,alcohol,n/a
447991,25.8,101243.38,49.84,1187.89,alcohol,n/a
448138,25.8,101244.32,49.84,1185.71,alcohol,n/a
448274,25.8,101243.13,49.83,1183.54,alcohol,n/a
448420,25.79,101241.93,49.79,1177.09,alcohol,n/a
448557,25.8,101244.58,49.8,1177.09,alcohol,n/a
448703,25.8,101245.09,49.77,1171.77,alcohol,n/a
448839,25.8,101242.19,49.78,1166.49,alcohol,n/a
448986,25.81,101243.91,49.76,1167.54,alcohol,n/a
449132,25.8,101242.69,49.76,1156.08,alcohol,n/a
449268,25.8,101245.84,49.74,1154.02,alcohol,n/a
449415,25.79,101241.08,49.72,1148.91,alcohol,n/a
449551,25.79,101242.61,49.72,1142.83,alcohol,n/a
449697,25.8,101244.99,49.72,1142.83,alcohol,n/a
449833,25.8,101244.23,49.72,1136.81,alcohol,n/a
449980,25.79,101243.54,49.71,1140.81,alcohol,n/a
450126,25.79,101242.1,49.69,1139.81,alcohol,n/a
450263,25.79,101243.54,49.69,1133.82,alcohol,n/a
450409,25.79,101245.16,49.7,1133.82,alcohol,n/a
450545,25.8,101245.41,49.69,1135.81,alcohol,n/a
450692,25.79,101243.63,49.69,1133.82,alcohol,n/a
450828,25.79,101244.73,49.69,1137.81,alcohol,n/a
450974,25.79,101243.97,49.66,1142.83,alcohol,n/a
451110,25.79,101244.04,49.67,1138.81,alcohol,n/a
451257,25.79,101243.52,49.64,1145.86,alcohol,n/a
451403,25.79,101245.33,49.64,1145.86,alcohol,n/a
451539,25.79,101244.65,49.64,1153.0,alcohol,n/a
451686,25.79,101243.29,49.66,1153.0,alcohol,n/a
451822,25.79,101245.66,49.66,1154.02,alcohol,n/a
451969,25.79,101246.17,49.63,1159.19,alcohol,n/a
452105,25.79,101243.46,49.64,1164.4,alcohol,n/a
452251,25.79,101244.73,49.64,1159.19,alcohol,n/a
452387,25.8,101243.88,49.6,1162.31,alcohol,n/a
452534,25.79,101243.88,49.62,1168.6,alcohol,n/a
452680,25.79,101242.16,49.61,1180.31,alcohol,n/a
452816,25.8,101244.73,49.6,1184.63,alcohol,n/a
452963,25.78,101242.09,49.6,1190.07,alcohol,n/a
453099,25.79,101244.14,49.57,1192.26,alcohol,n/a
453245,25.79,101245.67,49.57,1202.22,alcohol,n/a
453382,25.79,101244.04,49.56,1207.82,alcohol,n/a
453528,25.78,101242.86,49.56,1211.21,alcohol,n/a
453675,25.78,101244.55,49.54,1219.19,alcohol,n/a
453811,25.78,101244.81,49.53,1222.64,alcohol,n/a
453957,25.79,101244.3,49.51,1219.19,alcohol,n/a
454093,25.78,101243.02,49.53,1214.61,alcohol,n/a
454240,25.78,101243.63,49.51,1212.34,alcohol,n/a
454376,25.78,101243.11,49.5,1198.88,alcohol,n/a
454522,25.79,101245.59,49.49,1192.26,alcohol,n/a
454659,25.78,101242.69,49.49,1182.46,alcohol,n/a
454805,25.78,101243.29,49.49,1173.89,alcohol,n/a
454951,25.78,101243.29,49.47,1169.65,alcohol,n/a
455088,25.79,101243.7,49.47,1158.15,alcohol,n/a
455234,25.78,101241.32,49.47,1148.91,alcohol,n/a
455370,25.79,101245.33,49.49,1135.81,alcohol,n/a
455517,25.79,101242.95,49.48,1119.13,alcohol,n/a
455653,25.79,101244.81,49.51,1110.5,alcohol,n/a
455799,25.79,101242.85,49.49,1099.19,alcohol,n/a
455946,25.78,101240.48,49.51,1095.47,alcohol,n/a
456082,25.8,101244.06,49.53,1083.56,alcohol,n/a
456228,25.79,101242.78,49.52,1081.75,alcohol,n/a
456365,25.79,101243.46,49.54,1078.15,alcohol,n/a
456511,25.79,101243.46,49.54,1073.68,alcohol,n/a
456647,25.8,101244.06,49.55,1066.61,alcohol,n/a
456794,25.8,101244.06,49.58,1057.9,alcohol,n/a
456930,25.79,101243.04,49.59,1051.04,alcohol,n/a
457076,25.8,101245.51,49.6,1047.64,alcohol,n/a
457223,25.79,101243.12,49.61,1040.9,alcohol,n/a
457359,25.79,101243.21,49.63,1033.43,alcohol,n/a
457505,25.8,101243.04,49.65,1020.41,alcohol,n/a
457641,25.8,101243.88,49.68,1018.0,alcohol,n/a
457788,25.8,101243.3,49.7,1010.06,alcohol,n/a
457924,25.79,101242.7,49.71,1001.47,alcohol,n/a
458071,25.8,101242.72,49.74,993.03,alcohol,n/a
458217,25.8,101242.96,49.78,987.73,alcohol,n/a
458353,25.8,101242.96,49.81,981.0,alcohol,n/a
458500,25.8,101244.15,49.82,975.09,alcohol,n/a
458636,25.81,101244.75,49.86,969.98,alcohol,n/a
458782,25.8,101244.82,49.84,967.81,alcohol,n/a
458918,25.8,101243.8,49.89,962.77,alcohol,n/a
459065,25.8,101242.62,49.91,960.63,alcohol,n/a
459201,25.79,101242.36,49.96,964.21,alcohol,n/a
459347,25.8,101242.36,49.96,964.21,alcohol,n/a
459494,25.8,101243.88,49.99,962.77,alcohol,n/a
459630,25.79,101240.91,50.01,965.64,alcohol,n/a
459777,25.8,101243.3,50.04,964.92,alcohol,n/a
459913,25.8,101243.71,50.06,960.63,alcohol,n/a
460059,25.8,101243.98,50.09,958.5,alcohol,n/a
460195,25.8,101244.75,50.09,959.21,alcohol,n/a
460342,25.8,101243.88,50.12,961.34,alcohol,n/a
460488,25.8,101244.99,50.16,958.5,alcohol,n/a
460624,25.79,101242.43,50.16,959.21,alcohol,n/a
460771,25.8,101242.88,50.2,961.34,alcohol,n/a
460907,25.8,101243.89,50.19,964.92,alcohol,n/a
461053,25.8,101242.88,50.21,968.53,alcohol,n/a
461190,25.8,101244.23,50.24,972.17,alcohol,n/a
461336,25.8,101244.82,50.24,985.48,alcohol,n/a
461472,25.79,101241.5,50.24,994.56,alcohol,n/a
461619,25.79,101244.3,50.26,1006.14,alcohol,n/a
461765,25.8,101244.41,50.27,1012.43,alcohol,n/a
461901,25.8,101243.21,50.3,1022.02,alcohol,n/a
462048,25.79,101242.52,50.3,1031.78,alcohol,n/a
462184,25.8,101243.04,50.29,1037.57,alcohol,n/a
462330,25.8,101243.88,50.3,1039.23,alcohol,n/a
462467,25.79,101242.95,50.33,1040.07,alcohol,n/a
462613,25.79,101241.17,50.33,1040.07,alcohol,n/a
462759,25.79,101242.61,50.34,1042.58,alcohol,n/a
462896,25.79,101242.78,50.34,1038.4,alcohol,n/a
463042,25.78,101239.11,50.35,1038.4,alcohol,n/a
463178,25.8,101243.55,50.34,1035.08,alcohol,n/a
463325,25.8,101243.13,50.36,1030.96,alcohol,n/a
463461,25.8,101242.19,50.36,1029.32,alcohol,n/a
463607,25.78,101240.41,50.37,1021.21,alcohol,n/a
463744,25.8,101242.36,50.37,1016.4,alcohol,n/a
463890,25.79,101241.0,50.4,1015.61,alcohol,n/a
464036,25.8,101243.47,50.41,1010.85,alcohol,n/a
464173,25.8,101242.45,50.43,1009.28,alcohol,n/a
464319,25.81,101242.03,50.43,1006.14,alcohol,n/a
464455,25.8,101242.72,50.45,1001.47,alcohol,n/a
464602,25.8,101241.94,50.46,996.85,alcohol,n/a
464738,25.8,101242.79,50.47,993.79,alcohol,n/a
464884,25.81,101243.48,50.49,988.48,alcohol,n/a
465031,25.81,101242.37,50.48,983.98,alcohol,n/a
465167,25.8,101241.09,50.51,977.3,alcohol,n/a
465313,25.8,101240.41,50.51,975.09,alcohol,n/a
465449,25.8,101241.6,50.56,967.81,alcohol,n/a
465596,25.81,101243.48,50.55,962.77,alcohol,n/a
465732,25.8,101241.42,50.59,954.97,alcohol,n/a
465879,25.81,101242.29,50.59,947.98,alcohol,n/a
466015,25.8,101241.6,50.6,941.09,alcohol,n/a
466161,25.8,101241.09,50.64,934.31,alcohol,n/a
466308,25.8,101241.6,50.64,926.95,alcohol,n/a
466444,25.81,101241.09,50.65,924.31,alcohol,n/a
466590,25.81,101242.46,50.67,919.71,alcohol,n/a
466726,25.8,101240.75,50.69,915.81,alcohol,n/a
466873,25.82,101243.92,50.7,908.75,alcohol,n/a
467009,25.81,101242.2,50.73,905.57,alcohol,n/a
467155,25.8,101241.43,50.73,903.04,alcohol,n/a
467302,25.81,101241.86,50.77,896.17,alcohol,n/a
467438,25.8,101240.33,50.81,896.79,alcohol,n/a
467585,25.81,101240.67,50.81,894.32,alcohol,n/a
467721,25.81,101241.44,50.85,894.93,alcohol,n/a
467867,25.8,101240.33,50.85,892.47,alcohol,n/a
468003,25.8,101240.5,50.89,890.02,alcohol,n/a
468150,25.81,101242.2,50.88,890.02,alcohol,n/a
468296,25.81,101243.23,50.9,891.85,alcohol,n/a
468432,25.82,101245.78,50.92,891.24,alcohol,n/a
468579,25.81,101241.7,50.93,892.47,alcohol,n/a
468715,25.81,101241.28,50.96,894.32,alcohol,n/a
468861,25.81,101241.45,50.96,897.41,alcohol,n/a
468998,25.81,101242.8,50.99,898.66,alcohol,n/a
469144,25.81,101241.86,50.98,902.42,alcohol,n/a
469280,25.82,101243.15,51.0,905.57,alcohol,n/a
469427,25.82,101241.37,51.02,907.47,alcohol,n/a
469573,25.82,101242.73,51.03,911.3,alcohol,n/a
469709,25.82,101242.05,51.03,915.81,alcohol,n/a
469856,25.81,101240.34,51.03,919.71,alcohol,n/a
469992,25.81,101241.34,51.06,924.31,alcohol,n/a
470138,25.81,101241.45,51.05,931.62,alcohol,n/a
470275,25.81,101240.94,51.07,934.98,alcohol,n/a
470421,25.81,101241.63,51.08,940.41,alcohol,n/a
470567,25.81,101242.13,51.07,946.59,alcohol,n/a
470704,25.82,101242.46,51.08,952.86,alcohol,n/a
470849,25.82,101241.71,51.06,959.92,alcohol,n/a
470986,25.82,101243.58,51.09,962.06,alcohol,n/a
471132,25.81,101242.13,51.05,971.44,alcohol,n/a
471269,25.8,101239.39,51.07,978.78,alcohol,n/a
471414,25.82,101241.03,51.07,986.23,alcohol,n/a
471561,25.81,101241.88,51.1,993.03,alcohol,n/a
471697,25.82,101243.15,51.07,996.85,alcohol,n/a
471843,25.82,101244.51,51.08,1003.03,alcohol,n/a
471980,25.81,101242.63,51.05,1006.92,alcohol,n/a
472126,25.81,101242.13,51.05,1009.28,alcohol,n/a
472262,25.81,101241.52,51.05,1011.64,alcohol,n/a
472409,25.82,101243.31,51.04,1013.22,alcohol,n/a
472545,25.81,101241.44,51.03,1012.43,alcohol,n/a
472691,25.81,101241.63,51.05,1014.02,alcohol,n/a
472838,25.82,101242.81,51.03,1018.0,alcohol,n/a
472974,25.82,101241.62,51.03,1018.8,alcohol,n/a
473120,25.81,101239.91,51.0,1020.41,alcohol,n/a
473256,25.81,101242.13,51.0,1018.8,alcohol,n/a
473403,25.82,101242.64,51.01,1021.21,alcohol,n/a
473539,25.81,101241.95,50.99,1022.02,alcohol,n/a
473686,25.82,101242.46,50.99,1022.82,alcohol,n/a
473832,25.82,101241.03,50.99,1019.6,alcohol,n/a
473968,25.82,101242.81,50.98,1023.63,alcohol,n/a
474115,25.81,101241.19,50.98,1026.06,alcohol,n/a
474251,25.82,101241.96,50.97,1026.88,alcohol,n/a
474397,25.82,101241.2,50.95,1027.69,alcohol,n/a
474533,25.82,101242.22,50.96,1028.51,alcohol,n/a
474680,25.82,101241.37,50.95,1030.14,alcohol,n/a
474826,25.82,101239.84,50.93,1025.25,alcohol,n/a
474962,25.82,101240.52,50.92,1029.32,alcohol,n/a
475109,25.82,101243.07,50.92,1028.51,alcohol,n/a
475245,25.82,101240.52,50.92,1026.88,alcohol,n/a
475392,25.82,101243.07,50.91,1026.06,alcohol,n/a
475528,25.82,101242.05,50.92,1022.82,alcohol,n/a
475674,25.82,101242.05,50.91,1017.2,alcohol,n/a
475810,25.81,101238.89,50.9,1009.28,alcohol,n/a
475957,25.81,101239.75,50.9,1003.8,alcohol,n/a
476103,25.81,101240.26,50.88,997.62,alcohol,n/a
476239,25.81,101241.79,50.9,993.03,alcohol,n/a
476386,25.82,101241.71,50.9,986.98,alcohol,n/a
476522,25.82,101242.46,50.9,981.74,alcohol,n/a
476668,25.82,101238.65,50.9,977.3,alcohol,n/a
476805,25.81,101240.24,50.9,974.36,alcohol,n/a
476951,25.82,101241.37,50.88,973.63,alcohol,n/a
477097,25.82,101241.96,50.88,978.04,alcohol,n/a
477234,25.81,101241.28,50.9,981.74,alcohol,n/a
477380,25.81,101240.34,50.91,985.48,alcohol,n/a
477516,25.81,101241.02,50.9,994.56,alcohol,n/a
477663,25.82,101241.03,50.89,1004.58,alcohol,n/a
477799,25.81,101239.91,50.9,1009.28,alcohol,n/a
477945,25.81,101241.28,50.88,1021.21,alcohol,n/a
478082,25.81,101240.26,50.88,1029.32,alcohol,n/a
478228,25.81,101240.34,50.88,1035.08,alcohol,n/a
478374,25.81,101241.44,50.86,1042.58,alcohol,n/a
478511,25.82,101241.62,50.86,1048.48,alcohol,n/a
478657,25.8,101240.5,50.83,1052.74,alcohol,n/a
478793,25.81,101240.34,50.85,1053.6,alcohol,n/a
478940,25.81,101240.85,50.8,1053.6,alcohol,n/a
479076,25.79,101238.7,50.81,1056.18,alcohol,n/a
479222,25.81,101240.59,50.81,1057.04,alcohol,n/a
479369,25.8,101239.39,50.78,1053.6,alcohol,n/a
479505,25.81,101239.48,50.77,1051.04,alcohol,n/a
479651,25.81,101240.24,50.78,1051.89,alcohol,n/a
479788,25.81,101242.3,50.76,1053.6,alcohol,n/a
479934,25.81,101240.85,50.74,1051.89,alcohol,n/a
480070,25.81,101240.93,50.74,1046.79,alcohol,n/a
480217,25.8,101239.73,50.7,1046.79,alcohol,n/a
480353,25.81,101241.18,50.71,1049.33,alcohol,n/a
480499,25.81,101241.27,50.71,1045.1,alcohol,n/a
480646,25.8,101239.39,50.68,1046.79,alcohol,n/a
480782,25.8,101239.05,50.7,1045.1,alcohol,n/a
480928,25.8,101241.09,50.68,1045.1,alcohol,n/a
481064,25.79,101237.94,50.69,1038.4,alcohol,n/a
481211,25.81,101240.33,50.69,1040.07,alcohol,n/a
481347,25.8,101241.01,50.67,1037.57,alcohol,n/a
481494,25.8,101241.01,50.67,1032.61,alcohol,n/a
481640,25.79,101239.72,50.66,1033.43,alcohol,n/a
481776,25.8,101240.07,50.66,1026.88,alcohol,n/a
481923,25.8,101240.07,50.66,1027.69,alcohol,n/a
482059,25.8,101241.09,50.64,1025.25,alcohol,n/a
482205,25.8,101239.73,50.65,1022.02,alcohol,n/a
482341,25.8,101239.9,50.66,1019.6,alcohol,n/a
482488,25.81,101240.67,50.66,1016.4,alcohol,n/a
482624,25.8,101240.59,50.63,1019.6,alcohol,n/a
482770,25.81,101241.09,50.65,1019.6,alcohol,n/a
482917,25.81,101241.34,50.64,1016.4,alcohol,n/a
483053,25.8,101240.58,50.64,1014.81,alcohol,n/a
483200,25.81,101241.18,50.64,1010.85,alcohol,n/a
483336,25.81,101240.85,50.64,1010.06,alcohol,n/a
483482,25.81,101241.35,50.65,1004.58,alcohol,n/a
483618,25.81,101241.02,50.63,1003.03,alcohol,n/a
483765,25.8,101239.9,50.65,999.16,alcohol,n/a
483911,25.81,101241.09,50.64,993.79,alcohol,n/a
484047,25.8,101239.31,50.64,990.0,alcohol,n/a
484194,25.81,101239.31,50.64,986.23,alcohol,n/a
484330,25.8,101238.63,50.66,984.73,alcohol,n/a
484476,25.81,101240.6,50.65,976.56,alcohol,n/a
484613,25.81,101241.27,50.65,974.36,alcohol,n/a
484759,25.81,101240.94,50.69,968.53,alcohol,n/a
484905,25.81,101242.63,50.69,967.81,alcohol,n/a
485042,25.81,101239.98,50.68,964.21,alcohol,n/a
485188,25.8,101239.48,50.69,959.21,alcohol,n/a
485324,25.81,101240.76,50.71,954.97,alcohol,n/a
485471,25.82,101241.71,50.73,950.76,alcohol,n/a
485607,25.82,101240.7,50.73,943.83,alcohol,n/a
485753,25.82,101240.6,50.73,940.41,alcohol,n/a
485890,25.81,101238.98,50.76,934.98,alcohol,n/a
486036,25.81,101239.41,50.78,930.95,alcohol,n/a
486182,25.82,101242.3,50.78,927.62,alcohol,n/a
486319,25.82,101241.2,50.8,922.99,alcohol,n/a
486465,25.81,101241.28,50.81,919.06,alcohol,n/a
486601,25.81,101239.59,50.81,916.46,alcohol,n/a
486748,25.82,101240.09,50.84,911.94,alcohol,n/a
486884,25.82,101240.52,50.86,907.47,alcohol,n/a
487030,25.82,101240.86,50.88,905.57,alcohol,n/a
487177,25.82,101243.07,50.87,904.31,alcohol,n/a
487313,25.82,101241.2,50.9,905.57,alcohol,n/a
487459,25.8,101239.23,50.92,904.94,alcohol,n/a
487596,25.81,101240.44,50.93,910.66,alcohol,n/a
487742,25.81,101240.51,50.94,913.87,alcohol,n/a
487878,25.81,101239.91,50.96,919.71,alcohol,n/a
488025,25.82,101241.2,50.98,927.62,alcohol,n/a
488171,25.81,101242.12,50.99,935.65,alcohol,n/a
