timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
1441108,25.17,101235.32,42.75,160133.84
1475015,25.2,101236.45,42.79,160133.84
1477999,25.18,101234.84,42.77,160133.84
1481256,25.16,101233.45,42.78,160287.09
1483675,25.15,101234.63,42.8,160594.44
1485801,25.15,101231.14,42.82,160440.61
1487507,25.15,101234.28,42.84,160748.56
1489350,25.13,101232.56,42.85,160594.44
1491057,25.13,101231.63,42.86,160440.61
1493748,25.14,101233.08,42.85,160748.56
1499571,25.11,101230.16,42.86,160440.61
1501549,25.13,101231.27,42.88,160748.56
1503675,25.13,101231.45,42.92,160902.98
1505382,25.12,101229.74,42.9,160902.98
1506806,25.12,101232.39,42.9,161992.27
1508502,25.11,101230.24,42.9,161679.53
1509926,25.1,101231.16,42.92,161679.53
1511341,25.1,101231.75,42.94,162463.64
1512764,25.12,101231.52,42.96,161212.7
1514178,25.09,101228.94,42.96,161212.7
1515601,25.11,101232.2,42.98,162779.39
1517016,25.11,101227.95,42.97,161368.02
1518440,25.11,101229.23,42.95,160748.56
1520000,25.09,101226.84,42.95,161212.7
1521414,25.1,101228.36,42.93,160440.61
1522838,25.11,101229.06,42.92,160594.44
1524261,25.1,101226.06,42.92,161679.53
1525676,25.1,101227.42,42.92,161679.53
1527089,25.08,101229.52,42.95,162621.36
1528513,25.03,101228.01,42.96,164215.69
1529927,25.06,101228.05,42.96,164538.31
1531351,25.06,101228.4,42.99,163096.39
1532765,25.07,101229.09,42.99,162779.39
1534189,25.06,101228.82,42.99,162621.36
1535602,25.07,101227.48,42.99,161679.53
1537027,25.07,101226.37,43.0,161679.53
1538441,25.08,101227.74,43.01,162779.39
1539864,25.08,101227.57,42.99,161992.27
1541278,25.08,101228.08,43.0,161679.53
1542703,25.08,101227.15,43.01,162779.39
1544116,25.08,101226.04,43.0,162463.64
1545540,25.08,101228.67,43.01,162149.08
1546953,25.07,101228.48,42.99,162621.36
1548378,25.08,101228.67,43.0,162149.08
1549792,25.07,101227.22,42.98,162779.39
1551215,25.08,101228.08,42.99,162621.36
1552629,25.07,101227.64,43.02,162779.39
1554054,25.07,101227.3,43.01,163255.38
1555467,25.08,101226.8,43.01,161992.27
1556891,25.07,101226.38,43.01,162779.39
1558304,25.07,101227.13,43.02,162621.36
1559729,25.07,101227.13,43.03,162463.64
1561143,25.08,101227.32,43.04,162779.39
1562566,25.08,101228.51,43.02,161212.7
1563980,25.09,101227.91,43.04,161835.75
1565540,25.08,101226.12,43.04,161057.69
1567100,25.09,101226.83,43.03,160133.84
1568525,25.09,101229.09,43.03,161057.69
1569938,25.07,101226.54,43.03,162149.08
1571362,25.07,101228.83,43.04,162306.2
1572775,25.08,101228.51,43.07,162621.36
1574200,25.08,101228.0,43.08,161992.27
1575614,25.08,101227.98,43.09,162463.64
1577037,25.08,101228.24,43.09,162306.2
1578451,25.06,101226.7,43.09,161523.63
1579875,25.06,101226.95,43.12,163255.38
1581289,25.06,101226.27,43.15,163255.38
1582703,25.03,101227.25,43.15,164700.09
1584126,25.01,101227.56,43.17,166005.95
1585541,25.04,101226.98,43.25,164376.84
1586964,25.06,101229.15,43.28,164054.86
1588378,25.06,101229.84,43.32,162779.39
1589803,25.04,101228.63,43.34,164700.09
1591216,25.06,101229.07,43.36,163414.64
1592640,25.08,101227.74,43.39,161992.27
1594054,25.08,101227.91,43.38,162306.2
1595478,25.09,101229.38,43.39,162463.64
1596892,25.09,101229.6,43.41,163574.22
1598305,25.1,101229.71,43.38,163255.38
1599729,25.08,101230.62,43.38,163894.33
1601143,25.1,101231.41,43.37,163255.38
1602567,25.1,101229.13,43.35,163096.39
1603981,25.11,101231.01,43.34,160902.98
1605404,25.12,101230.84,43.38,160594.44
1606818,25.11,101231.09,43.45,160902.98
1608243,25.11,101229.56,43.46,161679.53
1609656,25.13,101230.52,43.49,162149.08
1611080,25.13,101229.08,43.47,161679.53
1612493,25.14,101231.3,43.47,161212.7
1613907,25.13,101230.86,43.45,162621.36
1615332,25.14,101230.44,43.42,164215.69
1616745,25.14,101230.02,43.38,164376.84
1618169,25.13,101229.06,43.33,164376.84
1619582,25.12,101228.47,43.32,164862.19
1621007,25.11,101227.95,43.3,165841.58
1622421,25.11,101228.8,43.26,164215.69
1623834,25.11,101229.3,43.23,165350.45
1625259,25.1,101228.36,43.23,165513.83
1626672,25.11,101228.28,43.21,164538.31
1628096,25.11,101229.47,43.18,165677.55
1629510,25.1,101227.59,43.19,164376.84
1630934,25.1,101231.59,43.15,165024.64
1632348,25.09,101229.45,43.16,165841.58
1633771,25.11,101228.8,43.16,165677.55
1635185,25.11,101232.78,43.16,165187.38
1636610,25.11,101229.05,43.18,164054.86
1638023,25.11,101229.13,43.19,164376.84
1639447,25.12,101229.74,43.2,164054.86
1640860,25.13,101229.23,43.23,164054.86
1642274,25.1,101227.52,43.22,166005.95
1643699,25.11,101228.46,43.22,166666.66
1645112,25.1,101229.2,43.22,166999.0
1646536,25.11,101227.78,43.23,166335.66
1647949,25.1,101227.17,43.22,165513.83
1649374,25.11,101227.53,43.21,165187.38
1650787,25.13,101228.21,43.2,165513.83
1652211,25.14,101228.56,43.19,164376.84
1653625,25.14,101227.82,43.19,164054.86
1655049,25.13,101226.17,43.17,165187.38
1656463,25.13,101228.05,43.13,165024.64
1657886,25.13,101227.48,43.11,166005.95
1659300,25.13,101225.34,43.1,166005.95
1660725,25.11,101224.3,43.09,166335.66
1662138,25.12,101224.4,43.07,166832.67
1663552,25.13,101226.29,43.04,166832.67
1664975,25.13,101227.64,43.05,165677.55
1666390,25.14,101228.24,43.06,165841.58
1667813,25.12,101223.97,43.05,165024.64
1669227,25.14,101226.38,43.07,164376.84
1670651,25.14,101226.47,43.06,163734.11
1672065,25.14,101226.63,43.04,163414.64
1673489,25.13,101225.77,43.03,164862.19
1674902,25.13,101225.84,43.02,166170.64
1676326,25.13,101225.51,43.04,165350.45
1677740,25.12,101227.02,43.0,165677.55
1679164,25.11,101225.41,43.0,164862.19
1680578,25.11,101225.49,43.01,166335.66
1682001,25.1,101224.46,43.04,166005.95
1683416,25.1,101226.24,43.05,167165.67
1684829,25.1,101225.14,43.06,167667.67
1686253,25.09,101226.23,43.08,167835.67
