timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
2026-02-14 20:01:17,21.65,1012.93,50.77,174090.45
2026-02-14 20:01:22,21.68,1012.89,50.59,187271.40
2026-02-14 20:01:32,21.56,1012.94,50.63,172681.28
2026-02-14 20:01:37,21.66,1012.87,50.56,182857.14
2026-02-14 20:01:51,21.44,1012.87,50.66,170951.59
2026-02-14 20:01:56,21.61,1012.87,50.58,175703.50
2026-02-14 20:02:06,21.60,1012.77,50.61,185843.92
2026-02-14 20:02:11,21.56,1012.78,50.50,174624.83
2026-02-14 20:02:16,21.68,1012.87,50.47,184837.55
2026-02-14 20:02:24,21.64,1012.87,50.51,186861.31
2026-02-14 20:02:39,21.60,1012.87,50.63,183842.01
2026-02-14 20:02:44,21.67,1012.87,50.53,187271.40
2026-02-14 20:02:49,21.70,1012.88,50.44,193134.67
2026-02-14 20:02:54,21.66,1012.93,50.37,177346.73
2026-02-14 20:03:02,21.60,1012.79,50.47,186656.94
2026-02-14 20:03:14,21.53,1012.90,50.55,173031.43
2026-02-14 20:03:24,21.58,1012.77,50.60,186249.55
2026-02-14 20:03:29,21.65,1012.78,50.54,193682.62
2026-02-14 20:03:34,21.67,1012.78,50.49,195569.14
2026-02-14 20:03:39,21.59,1012.91,50.58,174268.21
2026-02-14 20:03:47,21.54,1012.78,50.45,176247.85
2026-02-14 20:03:54,21.59,1012.75,50.62,192372.72
2026-02-14 20:04:03,21.61,1012.73,50.60,192156.13
2026-02-14 20:04:08,21.55,1012.74,50.49,176978.91
2026-02-14 20:04:13,21.68,1012.87,50.47,181303.12
2026-02-14 20:04:18,21.60,1012.91,50.38,172681.28
2026-02-14 20:04:23,21.66,1012.78,50.39,193682.62
2026-02-14 20:04:33,21.73,1012.78,50.35,195010.47
2026-02-14 20:04:38,21.74,1012.87,50.34,194676.81
2026-02-14 20:04:43,21.74,1012.78,50.30,194012.88
2026-02-14 20:04:52,21.66,1012.78,50.34,192589.81
2026-02-14 20:05:02,21.69,1012.76,50.38,191509.26
2026-02-14 20:05:07,21.75,1012.77,50.30,193463.06
2026-02-14 20:05:15,21.58,1012.88,50.25,175884.58
2026-02-14 20:05:20,21.66,1012.77,50.41,191616.77
2026-02-14 20:05:25,21.74,1012.79,50.34,193463.06
2026-02-14 20:05:33,21.72,1012.79,50.31,193792.58
2026-02-14 20:05:38,21.73,1012.76,50.24,195345.29
2026-02-14 20:05:43,21.72,1012.79,50.23,194344.28
2026-02-14 20:05:56,21.53,1012.78,50.31,174446.34
2026-02-14 20:06:01,21.68,1012.78,50.33,195233.56
2026-02-14 20:06:06,21.67,1012.76,50.30,195345.29
