timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
2026-02-14 20:08:28,21.51,1012.90,50.83,173736.00
2026-02-14 20:08:38,21.66,1012.77,50.50,196469.69
2026-02-14 20:08:43,21.53,1012.78,50.44,177162.63
2026-02-14 20:08:48,21.67,1012.75,50.45,195233.56
2026-02-14 20:08:53,21.56,1012.79,50.35,176978.91
2026-02-14 20:08:58,21.68,1012.76,50.38,196356.66
2026-02-14 20:09:03,21.67,1012.75,50.40,194565.84
2026-02-14 20:09:08,21.70,1012.77,50.36,193463.06
2026-02-14 20:09:13,21.60,1012.90,50.52,177901.32
2026-02-14 20:09:18,21.72,1012.89,50.39,192916.35
2026-02-14 20:09:23,21.67,1012.76,50.36,194676.81
2026-02-14 20:09:28,21.67,1012.76,50.34,194344.28
2026-02-14 20:09:33,21.70,1012.89,50.31,182271.27
2026-02-14 20:09:38,21.77,1012.87,50.24,195010.47
2026-02-14 20:09:43,21.60,1012.87,50.18,179397.34
2026-02-14 20:09:48,21.70,1012.77,50.22,196582.84
2026-02-14 20:09:53,21.69,1012.76,50.27,196018.38
2026-02-14 20:09:58,21.70,1012.77,50.27,197836.17
2026-02-14 20:10:03,21.68,1012.77,50.29,195905.87
2026-02-14 20:10:08,21.70,1012.77,50.27,196469.69
2026-02-14 20:10:13,21.64,1012.90,50.41,179020.98
2026-02-14 20:10:18,21.81,1012.90,50.28,191294.60
2026-02-14 20:10:23,21.72,1012.87,50.26,196809.53
2026-02-14 20:10:28,21.69,1012.75,50.25,196243.77
2026-02-14 20:10:33,21.68,1012.90,50.19,178833.39
2026-02-14 20:10:38,21.78,1012.78,50.13,193572.78
2026-02-14 20:10:49,21.79,1012.89,50.07,182661.43
2026-02-14 20:10:54,21.78,1012.75,50.05,195233.56
2026-02-14 20:10:59,21.78,1012.74,50.03,196582.84
2026-02-14 20:11:04,21.71,1012.79,50.08,181110.72
2026-02-14 20:11:09,21.82,1012.77,50.03,196809.53
2026-02-14 20:11:14,21.73,1012.76,50.10,199105.58
2026-02-14 20:11:19,21.73,1012.76,50.12,196809.53
2026-02-14 20:11:24,21.72,1012.77,50.18,196356.66
2026-02-14 20:11:29,21.76,1012.77,50.20,197264.50
2026-02-14 20:11:34,21.66,1012.88,50.35,181110.72
2026-02-14 20:11:39,21.79,1012.79,50.29,194123.22
2026-02-14 20:11:44,21.73,1012.75,50.55,197036.75
2026-02-14 20:11:49,21.73,1012.75,50.58,196243.77
2026-02-14 20:11:54,21.64,1012.87,50.65,178086.96
2026-02-14 20:11:59,21.79,1012.79,50.47,194344.28
2026-02-14 20:12:04,21.64,1012.77,50.36,177716.07
2026-02-14 20:12:09,21.80,1012.77,50.57,196356.66
2026-02-14 20:12:14,21.83,1012.79,50.62,182076.81
2026-02-14 20:12:19,21.87,1012.79,50.43,184637.58
2026-02-14 20:12:24,21.81,1012.75,50.22,196131.01
2026-02-14 20:12:34,21.85,1012.76,50.10,195010.47
2026-02-14 20:12:39,21.79,1012.72,50.11,196809.53
2026-02-14 20:12:44,21.76,1012.73,50.17,196243.77
2026-02-14 20:12:49,21.78,1012.72,50.14,196582.84
2026-02-14 20:12:54,21.72,1012.79,50.32,179586.11
2026-02-14 20:12:59,21.85,1012.74,50.20,194676.81
2026-02-14 20:13:04,21.79,1012.72,50.24,196923.08
2026-02-14 20:13:09,21.82,1012.73,50.21,196809.53
2026-02-14 20:13:14,21.72,1012.75,50.35,192156.13
2026-02-14 20:13:19,21.79,1012.76,50.23,196131.01
