timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
440895,25.83,101244.94,49.95,1011.64
441041,25.83,101245.02,49.96,1008.49
441178,25.82,101241.71,49.96,1005.36
441324,25.81,101241.95,49.98,999.93
441460,25.83,101244.18,49.99,999.16
441607,25.82,101243.66,50.01,1002.25
441743,25.83,101243.58,50.03,999.16
441889,25.82,101242.9,50.04,998.39
442036,25.83,101242.99,50.05,1003.03
442172,25.83,101244.69,50.06,1003.03
442318,25.82,101243.23,50.08,1002.25
442455,25.83,101245.28,50.09,1006.92
442601,25.83,101245.02,50.11,1007.71
442737,25.82,101241.45,50.11,1008.49
442884,25.83,101244.18,50.12,1007.71
443030,25.83,101244.09,50.12,1007.71
443166,25.83,101243.41,50.16,1010.06
443313,25.83,101245.54,50.18,1009.28
443449,25.83,101246.55,50.17,1012.43
443595,25.82,101243.74,50.2,1018.8
443731,25.82,101243.83,50.2,1024.44
443878,25.82,101244.51,50.19,1033.43
444014,25.83,101245.11,50.2,1044.26
444161,25.82,101244.59,50.2,1051.04
444307,25.82,101245.95,50.2,1063.11
444443,25.82,101244.51,50.21,1073.68
444590,25.82,101244.26,50.21,1091.78
444726,25.82,101244.16,50.18,1105.76
444872,25.82,101244.51,50.2,1123.01
445008,25.82,101244.77,50.19,1141.82
445155,25.82,101244.09,50.17,1157.12
445291,25.81,101243.23,50.18,1167.54
445437,25.82,101243.49,50.13,1185.71
445584,25.81,101243.32,50.13,1194.46
445720,25.82,101245.11,50.11,1201.1
445867,25.81,101242.88,50.09,1204.45
446003,25.81,101245.36,50.09,1207.82
446149,25.81,101244.08,50.04,1207.82
446285,25.81,101244.51,50.05,1198.88
446432,25.81,101244.92,50.03,1198.88
446578,25.82,101245.28,50.0,1203.33
446714,25.81,101244.66,49.97,1203.33
446861,25.81,101242.88,49.96,1210.08
446997,25.8,101243.98,49.94,1210.08
447143,25.8,101242.96,49.96,1204.45
447280,25.81,101244.91,49.93,1204.45
447426,25.8,101243.55,49.9,1203.33
447562,25.8,101242.11,49.9,1203.33
447709,25.8,101244.41,49.86,1196.66
447855,25.8,101244.58,49.86,1195.56
447991,25.8,101243.38,49.84,1187.89
448138,25.8,101244.32,49.84,1185.71
448274,25.8,101243.13,49.83,1183.54
448420,25.79,101241.93,49.79,1177.09
448557,25.8,101244.58,49.8,1177.09
448703,25.8,101245.09,49.77,1171.77
448839,25.8,101242.19,49.78,1166.49
448986,25.81,101243.91,49.76,1167.54
449132,25.8,101242.69,49.76,1156.08
449268,25.8,101245.84,49.74,1154.02
449415,25.79,101241.08,49.72,1148.91
449551,25.79,101242.61,49.72,1142.83
449697,25.8,101244.99,49.72,1142.83
449833,25.8,101244.23,49.72,1136.81
449980,25.79,101243.54,49.71,1140.81
450126,25.79,101242.1,49.69,1139.81
450263,25.79,101243.54,49.69,1133.82
450409,25.79,101245.16,49.7,1133.82
