timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
,,,,
12280.0,25.13,101286.37,43.96,203852.81
12427.0,25.13,101287.11,43.93,205634.75
12563.0,25.13,101286.1,43.92,204994.78
12709.0,25.13,101285.93,43.91,204485.69
12856.0,25.13,101286.7,43.91,205763.22
12992.0,25.14,101286.2,43.87,206020.66
13138.0,25.14,101286.62,43.86,204994.78
13275.0,25.14,101285.7,43.85,205122.45
13421.0,25.14,101284.58,43.82,204358.78
13557.0,25.15,101286.47,43.85,204358.78
13704.0,25.15,101285.28,43.82,204612.7
13850.0,25.15,101284.85,43.79,204994.78
13986.0,25.14,101284.23,43.79,204994.78
14133.0,25.15,101282.91,43.78,203979.06
14270.0,25.16,101285.39,43.76,205378.28
14416.0,25.16,101284.62,43.75,205634.75
14553.0,25.17,101285.14,43.75,204612.7
14699.0,25.17,101285.4,43.73,205250.28
14835.0,25.18,101286.43,43.74,204232.06
14982.0,25.18,101288.2,43.71,204485.69
15128.0,25.18,101286.09,43.7,203726.7
15264.0,25.17,101284.63,43.69,203349.36
15411.0,25.17,101283.87,43.68,203852.81
15547.0,25.18,101285.59,43.67,203726.7
15693.0,25.19,101287.03,43.65,203349.36
15830.0,25.19,101284.48,43.65,202474.23
15976.0,25.19,101286.95,43.65,203600.78
16122.0,25.19,101285.84,43.63,202101.5
16259.0,25.19,101287.12,43.61,202723.52
16405.0,25.19,101286.79,43.61,201853.77
16541.0,25.2,101285.68,43.62,201853.77
16688.0,25.2,101286.8,43.6,202349.86
16824.0,25.2,101286.19,43.58,201360.13
16970.0,25.19,101285.43,43.56,201483.31
17106.0,25.18,101283.7,43.54,202349.86
17253.0,25.19,101286.19,43.54,202848.36
17399.0,25.19,101285.68,43.56,202349.86
17536.0,25.19,101285.94,43.54,203726.7
17682.0,25.17,101282.68,43.54,203979.06
17818.0,25.19,101286.35,43.53,203098.55
17965.0,25.18,101285.42,43.52,204612.7
18101.0,25.18,101286.78,43.5,203223.89
18247.0,25.18,101284.4,43.51,204232.06
18394.0,25.17,101283.2,43.48,203098.55
18531.0,25.18,101286.43,43.48,204994.78
18677.0,25.18,101286.86,43.46,203979.06
18813.0,25.18,101286.68,43.47,204612.7
18960.0,25.18,101284.3,43.47,203098.55
19096.0,25.17,101284.13,43.45,203474.98
19243.0,25.17,101285.05,43.45,204105.48
19379.0,25.18,101286.16,43.44,204358.78
19525.0,25.19,101287.2,43.43,203979.06
19672.0,25.18,101284.14,43.44,203474.98
19808.0,25.19,101285.0,43.44,203726.7
19954.0,25.19,101284.83,43.41,203600.78
20090.0,25.2,101285.0,43.42,204358.78
20237.0,25.21,101286.3,43.42,203349.36
20373.0,25.2,101285.6,43.4,202973.39
20519.0,25.21,101287.66,43.4,202973.39
20666.0,25.21,101285.97,43.41,203979.06
20802.0,25.21,101286.13,43.39,202973.39
20948.0,25.21,101286.98,43.39,204358.78
21085.0,25.19,101284.49,43.37,203098.55
21231.0,25.21,101286.21,43.37,204105.48
21367.0,25.21,101286.98,43.36,203223.89
21514.0,25.2,101285.77,43.35,203474.98
21660.0,25.21,101288.93,43.36,202973.39
21796.0,25.21,101285.7,43.37,203349.36
21943.0,25.2,101285.17,43.34,202349.86
22079.0,25.2,101285.01,43.34,203979.06
22225.0,25.2,101286.02,43.35,202474.23
22362.0,25.21,101288.94,43.32,202101.5
22508.0,25.2,101286.46,43.33,203098.55
22645.0,25.21,101286.65,43.35,202848.36
22792.0,25.2,101285.95,43.32,203223.89
22938.0,25.21,101286.72,43.31,204105.48
23074.0,25.21,101286.47,43.31,204358.78
23221.0,25.21,101285.37,43.32,203600.78
23357.0,25.22,101287.59,43.33,203223.89
23503.0,25.21,101284.43,43.31,203726.7
23640.0,25.22,101286.48,43.3,203852.81
23786.0,25.22,101285.89,43.3,205122.45
23932.0,25.22,101287.25,43.29,203979.06
24069.0,25.21,101286.66,43.28,204994.78
24215.0,25.22,101287.77,43.29,203349.36
24351.0,25.22,101286.41,43.29,203474.98
24498.0,25.21,101285.54,43.27,205250.28
24634.0,25.22,101286.06,43.27,203979.06
24780.0,25.22,101284.63,43.27,204612.7
24916.0,25.22,101285.81,43.29,204232.06
25063.0,25.23,101287.59,43.26,205378.28
25209.0,25.23,101287.09,43.26,204358.78
25346.0,25.22,101284.37,43.26,205506.44
25492.0,25.23,101288.71,43.26,204867.28
25628.0,25.22,101285.1,43.26,205378.28
25775.0,25.23,101288.19,43.26,204739.91
25911.0,25.22,101285.89,43.23,205250.28
26057.0,25.22,101283.59,43.24,204994.78
26204.0,25.22,101286.66,43.25,205891.86
26340.0,25.23,101285.23,43.23,204867.28
26486.0,25.23,101286.59,43.22,204612.7
26622.0,25.23,101287.0,43.23,206020.66
26769.0,25.24,101286.59,43.23,204612.7
26906.0,25.23,101286.16,43.22,204358.78
27053.0,25.23,101284.8,43.22,204994.78
27189.0,25.24,101285.92,43.22,204358.78
27335.0,25.24,101285.74,43.22,205250.28
27482.0,25.24,101286.68,43.22,204612.7
27618.0,25.24,101288.47,43.21,204994.78
27764.0,25.24,101286.02,43.22,204232.06
27900.0,25.24,101288.3,43.2,204612.7
28047.0,25.24,101286.52,43.2,204358.78
28183.0,25.24,101286.09,43.2,203979.06
28329.0,25.24,101287.2,43.22,205250.28
28466.0,25.23,101286.16,43.18,203979.06
28612.0,25.23,101287.34,43.2,204994.78
28759.0,25.23,101285.47,43.19,203852.81
28895.0,25.24,101287.54,43.2,204867.28
29041.0,25.24,101285.83,43.19,204612.7
