timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
1157409,25.67,101266.51,42.14,203474.98
1157545,25.67,101265.06,42.15,203098.55
1157692,25.67,101267.63,42.13,202848.36
1157828,25.67,101267.52,42.12,203223.89
1157975,25.66,101264.47,42.12,203600.78
1158111,25.66,101266.24,42.12,205506.44
1158258,25.66,101265.05,42.11,204485.69
1158394,25.65,101264.11,42.1,204358.78
1158541,25.65,101265.65,42.12,204994.78
1158687,25.66,101266.84,42.11,204612.7
1158823,25.66,101266.93,42.09,205250.28
1158970,25.65,101267.0,42.09,203979.06
1159106,25.65,101265.73,42.08,205763.22
1159252,25.65,101265.89,42.09,205634.75
1159389,25.65,101267.68,42.09,206020.66
1159535,25.66,101265.91,42.1,206278.73
1159672,25.65,101265.3,42.07,206149.61
1159819,25.66,101267.09,42.1,205634.75
1159965,25.66,101266.34,42.07,206537.45
1160101,25.67,101266.25,42.09,206667.06
1160248,25.67,101265.32,42.08,206407.98
1160384,25.67,101266.0,42.06,206537.45
1160530,25.67,101266.69,42.07,206667.06
1160667,25.68,101267.97,42.08,206278.73
1160813,25.67,101265.41,42.06,206407.98
1160950,25.67,101265.75,42.07,207056.83
1161097,25.69,101269.33,42.08,205506.44
1161243,25.68,101267.28,42.06,206149.61
1161379,25.68,101267.45,42.05,206149.61
1161526,25.69,101268.48,42.05,207317.52
1161662,25.68,101266.95,42.05,206796.81
1161808,25.68,101266.88,42.05,206667.06
1161945,25.68,101266.35,42.06,206796.81
1162091,25.68,101267.02,42.06,205891.86
1162228,25.67,101265.84,42.04,207187.11
1162375,25.68,101268.82,42.05,206537.45
1162511,25.67,101268.38,42.05,206926.75
1162657,25.67,101265.91,42.04,206796.81
1162804,25.69,101269.67,42.05,206926.75
1162940,25.67,101267.02,42.04,206149.61
1163086,25.68,101265.76,42.02,207972.09
1163223,25.69,101265.43,42.03,206667.06
1163369,25.68,101265.92,42.04,206407.98
1163506,25.69,101268.15,42.03,206149.61
1163653,25.68,101264.23,42.03,206407.98
1163789,25.69,101267.91,42.04,205763.22
1163935,25.68,101265.76,42.02,206020.66
1164082,25.69,101267.81,42.03,205250.28
1164218,25.69,101267.22,42.04,206407.98
1164364,25.69,101268.99,42.02,206278.73
1164500,25.69,101265.43,42.01,205891.86
1164647,25.68,101266.17,42.01,206667.06
1164784,25.68,101266.52,42.03,206667.06
