timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
161,20.92,101227.13,52.33,831781.56
360,21.12,101219.73,52.34,38385.45
496,21.7,101216.31,52.44,45860.96
643,22.29,101219.59,52.51,52863.13
779,22.73,101224.16,52.56,57588.64
924,23.05,101222.63,52.56,61795.35
1071,23.28,101225.75,52.54,65110.25
1207,23.46,101225.21,52.52,67853.33
1353,23.6,101224.81,52.47,70420.76
1489,23.71,101224.69,52.4,72180.85
1636,23.81,101225.3,52.31,73770.35
1772,23.88,101226.89,52.23,75499.43
1918,23.95,101228.29,52.14,76534.34
2065,24.01,101227.3,52.03,77886.7
2201,24.06,101228.15,51.93,79063.14
2348,24.1,101227.2,51.81,80122.08
2484,24.15,101227.8,51.71,80895.98
2630,24.18,101230.15,51.61,81446.7
2766,24.21,101229.67,51.49,82489.56
2913,24.24,101230.16,51.38,82979.95
3059,24.26,101229.87,51.24,83227.34
3195,24.29,101230.24,51.12,84062.71
3342,24.32,101230.45,51.02,84316.61
3478,24.34,101230.76,50.9,84657.53
3624,24.35,101228.91,50.8,85434.77
3761,24.38,101229.45,50.68,85260.82
3907,24.4,101231.03,50.59,86137.74
4054,24.42,101231.73,50.48,86049.24
4190,24.43,101231.74,50.35,86226.42
4335,24.44,101231.52,50.26,86404.34
4471,24.45,101231.62,50.14,86852.38
4618,24.46,101230.54,50.03,87214.15
4754,24.48,101231.16,49.95,87670.63
4900,24.49,101232.02,49.84,87854.57
5047,24.5,101232.38,49.73,87762.5
5183,24.51,101231.22,49.64,88039.28
5329,24.52,101230.38,49.52,88131.93
5466,24.53,101232.0,49.45,88411.02
5612,24.54,101231.16,49.35,88598.09
5748,24.55,101229.66,49.26,88411.02
5895,24.56,101233.14,49.16,88785.94
6031,24.56,101232.49,49.08,89449.74
6177,24.57,101232.84,49.0,89833.53
6324,24.58,101232.17,48.92,89545.38
6460,24.58,101231.16,48.83,89641.23
6606,24.59,101232.02,48.74,89545.38
6743,24.6,101232.27,48.65,90123.53
6889,24.6,101230.77,48.58,90415.43
7025,24.6,101231.62,48.51,90220.63
7172,24.61,101232.91,48.44,90709.22
7318,24.62,101232.26,48.36,91004.91
7454,24.62,101230.78,48.26,90317.91
7601,24.63,101230.73,48.18,90906.13
7737,24.63,101231.23,48.15,90709.22
7883,24.64,101231.34,48.06,91203.12
8019,24.65,101231.34,47.99,91103.91
8166,24.65,101230.92,47.93,91103.91
8312,24.65,101229.74,47.85,91302.55
8449,24.66,101231.37,47.79,91103.91
8594,24.67,101232.23,47.73,91103.91
8730,24.67,101231.21,47.68,91602.15
8877,24.68,101231.05,47.6,91702.43
9013,24.68,101231.91,47.55,91903.7
9159,24.68,101231.16,47.49,91702.43
9306,24.68,101230.65,47.43,92207.25
9442,24.69,101231.08,47.37,92207.25
9588,24.69,101231.33,47.31,92410.73
9724,24.7,101232.09,47.27,92512.82
9871,24.7,101233.38,47.18,92207.25
10007,24.69,101229.72,47.14,92512.82
10153,24.71,101230.84,47.11,92512.82
10300,24.71,101230.59,47.06,92512.82
10436,24.72,101232.3,47.0,92717.66
10583,24.72,101232.99,46.95,92512.82
10719,24.73,101231.31,46.9,93026.63
10865,24.74,101232.59,46.87,92615.13
11001,24.73,101230.97,46.8,92923.4
11148,24.73,101231.98,46.75,92717.66
11294,24.73,101231.31,46.71,93130.05
11430,24.75,101232.34,46.66,93130.05
11577,24.74,101231.15,46.62,92923.4
11713,24.74,101231.16,46.57,93441.77
11859,24.76,101233.13,46.53,93441.77
11996,24.74,101232.18,46.5,93337.64
12142,24.75,101232.1,46.46,93233.73
12278,24.75,101232.02,46.41,93755.59
12425,24.75,101232.2,46.35,93546.16
12571,24.76,101229.91,46.35,93755.59
12707,24.75,101229.31,46.3,93650.76
12854,24.75,101232.28,46.28,93130.05
12990,24.75,101234.04,46.26,92820.41
13136,24.74,101232.69,46.25,92105.85
13273,24.73,101231.05,46.25,92923.4
13419,24.73,101231.73,46.29,92512.82
13565,24.72,101230.6,46.32,92105.85
13702,24.73,101231.81,46.35,92820.41
13848,24.73,101231.38,46.42,91903.7
13984,24.75,101232.94,46.5,92308.88
14131,24.75,101231.41,46.54,92512.82
14267,24.75,101232.78,46.61,92512.82
14413,24.75,101232.44,46.71,92615.13
14551,24.75,101233.7,46.8,91702.43
14696,24.75,101231.75,46.9,92004.66
14842,24.75,101232.7,46.98,92923.4
14980,24.74,101229.2,47.1,92410.73
15125,24.76,101231.86,47.23,92615.13
15262,24.76,101231.62,47.32,92410.73
15409,24.76,101229.99,47.42,92410.73
15545,24.77,101231.95,47.54,92717.66
15691,24.77,101230.25,47.63,92410.73
15838,24.77,101230.43,47.74,92410.73
15974,24.77,101231.54,47.86,92615.13
16120,24.79,101233.94,47.96,92512.82
16257,24.79,101234.01,48.07,92308.88
16403,24.79,101232.94,48.2,92207.25
16539,24.8,101232.84,48.32,92004.66
16686,24.81,101231.66,48.41,92410.73
16822,24.81,101231.94,48.49,91702.43
16968,24.82,101231.36,48.6,91402.2
17115,24.82,101231.27,48.68,91802.96
17251,24.83,101230.53,48.76,91602.15
17397,24.83,101232.3,48.86,92004.66
17533,24.84,101230.7,48.93,91203.12
17680,24.84,101229.34,48.99,91702.43
17816,24.84,101231.14,49.04,91702.43
17963,24.85,101231.57,49.11,91702.43
18109,24.85,101230.88,49.16,91502.05
18245,24.84,101230.46,49.21,91402.2
18392,24.85,101231.84,49.24,91103.91
18528,24.86,101231.4,49.28,91302.55
18674,24.86,101231.84,49.3,91402.2
18810,24.86,101232.44,49.33,91402.2
18957,24.87,101231.69,49.37,91502.05
19093,24.86,101230.65,49.39,91502.05
19239,24.87,101230.57,49.43,91802.96
19386,24.88,101232.72,49.42,91903.7
19522,24.88,101231.27,49.43,91903.7
19668,24.88,101229.16,49.45,91602.15
19805,24.89,101230.86,49.42,91903.7
19951,24.89,101232.65,49.42,91903.7
20087,24.89,101232.22,49.39,92207.25
20234,24.9,101232.16,49.39,92105.85
20380,24.89,101231.88,49.37,92207.25
20516,24.9,101231.13,49.35,92308.88
20663,24.89,101231.03,49.32,92105.85
20799,24.9,101231.55,49.29,92512.82
20945,24.9,101233.07,49.25,92717.66
21082,24.9,101233.24,49.21,92512.82
21228,24.9,101231.98,49.18,92615.13
21364,24.91,101233.35,49.13,92717.66
21511,24.9,101231.3,49.08,93026.63
21657,24.9,101230.12,49.03,93233.73
21793,24.91,101231.82,48.98,93026.63
21890,24.91,101231.91,48.94,92820.41
22078,24.92,101231.08,48.89,93337.64
22224,24.91,101229.95,48.84,93337.64
22361,24.91,101230.72,48.76,93026.63
22507,24.91,101231.82,48.71,93233.73
22643,24.92,101230.82,48.66,93546.16
22790,24.92,101231.16,48.61,93546.16
22936,24.92,101232.85,48.57,93650.76
23072,24.92,101231.0,48.5,93650.76
23219,24.93,101232.12,48.46,93860.67
23355,24.92,101230.23,48.4,93650.76
23501,24.93,101232.12,48.33,93860.67
23638,24.93,101230.41,48.28,93441.77
23784,24.93,101228.72,48.21,93546.16
23920,24.94,101233.21,48.15,93650.76
24067,24.93,101231.02,48.1,93650.76
24213,24.95,101230.95,48.04,93965.99
24349,24.95,101230.52,47.99,93755.59
24496,24.95,101232.3,47.93,93650.76
24632,24.95,101230.09,47.87,93755.59
24778,24.94,101227.19,47.8,93860.67
24914,24.95,101228.23,47.75,93860.67
25061,24.95,101230.62,47.7,93860.67
25207,24.95,101230.27,47.64,94389.59
25344,24.94,101229.59,47.58,94283.33
25490,24.95,101231.54,47.52,94283.33
25626,24.95,101229.5,47.47,94709.82
25773,24.95,101230.62,47.4,94389.59
25909,24.95,101229.25,47.37,94602.84
26055,24.95,101227.98,47.34,94389.59
26191,24.95,101230.52,47.27,94283.33
26338,24.94,101233.05,47.22,94817.05
26484,24.94,101227.7,47.18,94709.82
26620,24.93,101229.41,47.13,94496.1
26767,24.93,101231.66,47.1,94389.59
26903,24.93,101231.09,47.11,94177.32
27049,24.93,101230.92,47.08,94071.53
27186,24.9,101229.2,47.1,93755.59
27332,24.92,101230.65,47.11,94177.32
27479,24.92,101232.09,47.11,94071.53
27615,24.93,101232.19,47.13,93233.73
27761,24.93,101231.84,47.15,93965.99
27898,24.93,101231.02,47.22,94071.53
28045,24.93,101231.86,47.24,94177.32
28181,24.93,101232.63,47.29,94389.59
28327,24.93,101233.88,47.34,94709.82
28464,24.92,101231.66,47.38,94496.1
28610,24.92,101230.73,47.45,94924.52
28756,24.92,101234.05,47.52,95140.19
28893,24.91,101232.59,47.57,93942.8
29039,24.91,101232.5,47.62,95356.84
29175,24.91,101231.73,47.69,95574.48
29322,24.91,101232.08,47.77,93837.53
29458,24.9,101228.59,47.83,93680.09
29604,24.91,101229.61,47.89,95683.67
29750,24.92,101231.74,47.95,93890.14
29887,24.93,101232.63,48.02,95465.53
30033,24.92,101230.73,48.09,95356.84
30170,24.93,101229.41,48.14,95140.19
30316,24.94,101231.09,48.2,95356.84
30452,24.94,101231.6,48.23,95574.48
30599,24.94,101226.44,48.3,95574.48
30735,24.94,101230.67,48.33,93523.17
30881,24.94,101232.3,48.38,93784.99
31027,24.93,101233.31,48.42,94366.19
31163,24.93,101230.76,48.47,93890.14
31309,24.93,101233.64,48.5,94525.96
31446,24.93,101232.97,48.54,94259.98
31592,24.92,101231.33,48.55,94206.98
31728,24.93,101230.81,48.58,93627.72
31875,24.94,101227.87,48.62,93837.53
32021,24.94,101231.12,48.65,94101.13
32157,24.94,101229.24,48.67,94366.19
32304,24.95,101229.34,48.69,93784.99
32440,24.96,101229.87,48.71,94206.98
32586,24.95,101227.48,48.74,95683.67
32722,24.96,101227.4,48.75,95465.53
32869,24.96,101228.5,48.76,95140.19
33015,24.97,101228.69,48.78,95248.38
33152,24.97,101229.11,48.79,94924.52
33298,24.97,101227.34,48.79,94924.52
33434,24.98,101227.59,48.8,94924.52
33581,24.98,101228.71,48.81,94817.05
33717,24.98,101226.42,48.81,94817.05
33863,24.99,101228.04,48.82,94602.84
34010,25.01,101230.95,48.82,94071.53
34146,25.0,101227.71,48.83,94283.33
34292,25.01,101229.76,48.84,93755.59
34428,25.01,101227.63,48.84,93860.67
34575,25.0,101225.34,48.82,93755.59
34712,25.02,101227.48,48.82,93860.67
34857,25.02,101227.91,48.82,93860.67
34995,25.02,101226.12,48.82,93860.67
35141,25.02,101227.65,48.8,93546.16
35287,25.02,101230.8,48.81,93965.99
35424,25.02,101228.33,48.79,94177.32
35570,25.02,101227.74,48.78,94071.53
35706,25.02,101228.93,48.76,93755.59
35853,25.02,101229.09,48.76,94177.32
35989,25.02,101230.28,48.73,94389.59
36135,25.01,101228.65,48.69,93965.99
36282,25.02,101228.67,48.7,94071.53
36418,25.02,101229.52,48.66,94283.33
36564,25.02,101228.33,48.64,94602.84
36701,25.02,101226.39,48.62,94496.1
36847,25.03,101228.78,48.58,94389.59
36983,25.02,101228.43,48.55,94389.59
37130,25.04,101229.29,48.53,94071.53
37276,25.03,101227.84,48.49,94283.33
37412,25.04,101229.72,48.47,94389.59
37559,25.03,101226.65,48.44,94177.32
37695,25.04,101228.69,48.41,94817.05
37841,25.05,101229.72,48.36,94283.33
37978,25.05,101226.84,48.35,94177.32
38124,25.06,101230.77,48.28,94602.84
38270,25.04,101227.86,48.24,95140.19
38407,25.05,101228.46,48.21,94602.84
38553,25.05,101228.53,48.17,94177.32
38689,25.05,101229.66,48.13,94389.59
38836,25.06,101229.4,48.09,94496.1
38972,25.06,101228.38,48.04,94817.05
39118,25.06,101230.44,48.02,94709.82
39255,25.06,101230.69,47.97,94389.59
39401,25.06,101228.38,47.93,94602.84
39547,25.06,101228.3,47.89,94389.59
39684,25.06,101228.64,47.85,94496.1
39830,25.07,101228.92,47.8,94071.53
39966,25.07,101230.86,47.76,95032.23
40113,25.07,101227.64,47.7,94709.82
40249,25.06,101227.46,47.69,94496.1
40395,25.06,101229.08,47.62,95032.23
40542,25.06,101229.84,47.57,95465.53
40678,25.07,101229.0,47.54,94817.05
40824,25.07,101228.58,47.48,95140.19
40961,25.07,101229.67,47.43,95574.48
41107,25.07,101228.15,47.38,95032.23
41243,25.06,101228.99,47.35,95140.19
41390,25.07,101228.07,47.32,95140.19
41536,25.07,101226.54,47.24,95248.38
41672,25.08,101228.67,47.19,95356.84
41819,25.08,101228.41,47.14,95683.67
41955,25.07,101227.3,47.11,95248.38
42101,25.08,101229.35,47.05,93837.53
42237,25.08,101229.09,46.99,95465.53
42384,25.08,101228.67,46.95,93995.52
42530,25.08,101229.27,46.92,95356.84
42667,25.08,101229.01,46.88,95683.67
42813,25.08,101227.57,46.83,93942.8
42949,25.08,101228.67,46.78,93890.14
43096,25.08,101227.58,46.73,94101.13
43232,25.09,101229.6,46.69,95574.48
43378,25.08,101228.16,46.65,93890.14
43514,25.08,101227.49,46.62,94313.05
43661,25.08,101227.66,46.56,95683.67
43807,25.09,101229.53,46.53,93627.72
43943,25.09,101228.41,46.49,94048.29
44090,25.1,101228.78,46.44,94419.4
44226,25.08,101226.55,46.38,95683.67
44372,25.09,101228.19,46.34,93995.52
44509,25.11,101229.99,46.32,95574.48
44655,25.1,101230.05,46.27,93837.53
44802,25.1,101228.96,46.25,95683.67
44938,25.1,101229.38,46.2,93890.14
45084,25.1,101229.13,46.15,95574.48
