timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
382704,25.51,101284.06,42.58,204867.28
382851,25.51,101283.47,42.59,203223.89
382997,25.5,101282.27,42.58,204105.48
383133,25.5,101281.42,42.6,203979.06
383280,25.5,101284.06,42.62,204232.06
383416,25.48,101278.85,42.6,204994.78
383562,25.5,101281.25,42.62,204358.78
383699,25.5,101282.88,42.62,203852.81
383846,25.5,101282.53,42.64,204994.78
383982,25.51,101281.77,42.62,204739.91
384129,25.51,101282.02,42.63,203979.06
384275,25.5,101279.55,42.64,205250.28
384411,25.5,101281.85,42.64,204105.48
384558,25.51,101281.61,42.64,204739.91
384694,25.5,101279.3,42.64,205634.75
384840,25.5,101281.34,42.64,204867.28
384976,25.51,101281.95,42.64,204867.28
385123,25.51,101282.02,42.66,204358.78
385259,25.51,101282.7,42.65,205763.22
385405,25.5,101279.81,42.66,204232.06
385552,25.5,101280.06,42.66,204485.69
385689,25.51,101281.27,42.65,203474.98
385836,25.51,101281.51,42.67,203223.89
385972,25.5,101278.63,42.66,201606.64
386118,25.51,101280.75,42.67,200868.88
386254,25.51,101281.51,42.7,201483.31
386401,25.51,101281.34,42.7,201237.08
386547,25.51,101282.62,42.7,200624.16
386683,25.5,101282.02,42.71,201853.77
386830,25.5,101281.77,42.72,201977.56
386966,25.5,101281.77,42.74,201606.64
387112,25.5,101280.06,42.75,201483.31
387249,25.5,101279.39,42.78,202349.86
387395,25.5,101280.58,42.78,202101.5
387532,25.5,101279.39,42.78,202101.5
387679,25.5,101282.27,42.79,201730.13
387825,25.5,101282.2,42.8,201237.08
387961,25.5,101279.64,42.81,202349.86
388108,25.49,101280.31,42.81,201114.2
388244,25.51,101282.63,42.85,201237.08
388390,25.51,101281.34,42.84,201977.56
388527,25.51,101279.41,42.85,201606.64
388673,25.52,101281.95,42.86,200624.16
388809,25.52,101282.64,42.87,200991.47
388956,25.52,101281.79,42.9,200624.16
389102,25.52,101281.95,42.91,200868.88
389238,25.51,101281.44,42.92,201606.64
389385,25.51,101280.16,42.94,200991.47
389521,25.51,101279.99,42.93,201360.13
389667,25.52,101281.2,42.95,200746.44
389805,25.52,101280.6,42.97,201360.13
389951,25.53,101280.85,42.96,201360.13
390087,25.51,101278.38,42.97,200991.47
390234,25.53,101282.9,42.99,201237.08
390380,25.52,101280.86,42.98,200502.02
390516,25.51,101280.67,42.98,201237.08
390663,25.51,101280.16,43.0,201360.13
390799,25.52,101280.6,43.02,201114.2
390945,25.52,101280.68,42.98,201483.31
391081,25.52,101280.95,42.99,200746.44
391228,25.53,101281.2,43.0,201360.13
391364,25.53,101281.96,42.99,200746.44
391511,25.53,101280.69,43.01,200258.17
391657,25.53,101281.53,43.0,200136.5
391794,25.53,101280.62,43.0,201237.08
391941,25.53,101281.36,43.02,200991.47
392077,25.53,101281.2,43.01,201606.64
392223,25.53,101282.91,43.01,201730.13
392359,25.53,101282.81,42.99,200991.47
392506,25.53,101280.85,43.0,201977.56
392652,25.52,101280.86,43.01,201853.77
392788,25.52,101280.34,43.0,201237.08
392935,25.53,101282.38,43.0,203098.55
393071,25.52,101281.28,43.0,203349.36
393218,25.51,101279.48,42.98,203852.81
393354,25.51,101281.17,42.98,204105.48
393500,25.51,101281.62,42.98,202848.36
393636,25.5,101280.5,42.99,204612.7
393783,25.51,101282.12,42.99,204739.91
393929,25.5,101281.17,42.97,203600.78
394066,25.51,101281.17,42.98,203600.78
394213,25.5,101279.81,42.97,203979.06
394349,25.5,101279.13,42.98,205250.28
394496,25.51,101279.98,42.98,204232.06
394632,25.52,101281.45,42.96,205506.44
394778,25.52,101281.53,42.94,204739.91
394914,25.52,101281.63,42.95,205122.45
395061,25.52,101281.88,42.93,204105.48
395207,25.52,101280.61,42.94,205378.28
395343,25.53,101282.05,42.94,204739.91
395490,25.51,101280.32,42.93,205122.45
395626,25.53,101280.26,42.93,205506.44
395772,25.53,101280.52,42.92,205634.75
395910,25.53,101280.52,42.91,205250.28
396056,25.53,101280.61,42.91,204994.78
396192,25.52,101279.66,42.92,206278.73
396339,25.52,101280.68,42.91,206149.61
396485,25.53,101281.2,42.9,206149.61
396621,25.53,101280.44,42.89,205891.86
396768,25.52,101279.42,42.88,205378.28
396904,25.53,101280.17,42.87,205378.28
397050,25.53,101280.34,42.88,205891.86
397187,25.52,101280.01,42.85,205763.22
397333,25.53,101281.72,42.85,204739.91
397479,25.53,101280.34,42.82,204867.28
397616,25.53,101278.31,42.84,206537.45
397762,25.52,101280.44,42.83,205506.44
397898,25.53,101280.52,42.82,206020.66
398045,25.53,101280.77,42.83,206149.61
398182,25.53,101280.26,42.81,205378.28
398328,25.53,101281.13,42.81,206407.98
398465,25.52,101279.42,42.8,206020.66
398611,25.53,101280.52,42.79,205378.28
398757,25.54,101280.54,42.78,206278.73
398894,25.53,101279.66,42.79,206020.66
399040,25.54,101281.91,42.79,206278.73
399176,25.54,101281.98,42.78,204867.28
399323,25.53,101280.26,42.76,205634.75
399459,25.53,101278.91,42.76,204485.69
399605,25.54,101279.01,42.75,205763.22
399741,25.54,101278.5,42.76,205506.44
399888,25.54,101280.38,42.74,206407.98
400034,25.54,101279.7,42.74,204994.78
400172,25.54,101280.19,42.73,205763.22
400318,25.53,101280.35,42.73,205763.22
400454,25.53,101281.46,42.71,206926.75
400601,25.51,101279.48,42.71,206796.81
400737,25.51,101278.72,42.71,206537.45
400883,25.5,101278.63,42.71,206667.06
401019,25.49,101278.02,42.71,206537.45
401166,25.5,101278.88,42.69,205763.22
401312,25.5,101278.2,42.68,206926.75
401448,25.5,101277.52,42.69,207448.09
401595,25.5,101280.06,42.66,207317.52
401731,25.51,101281.0,42.65,205634.75
401878,25.51,101281.0,42.66,207709.77
402015,25.51,101279.91,42.65,206796.81
402161,25.51,101281.34,42.65,206020.66
402297,25.51,101278.2,42.67,207187.11
402444,25.5,101278.96,42.65,207187.11
402590,25.5,101278.02,42.63,206926.75
402726,25.5,101278.54,42.66,207448.09
402873,25.5,101279.73,42.66,207972.09
403009,25.51,101278.8,42.63,206278.73
403155,25.5,101278.45,42.64,206796.81
403292,25.51,101279.22,42.64,206020.66
403438,25.5,101277.69,42.63,206020.66
403585,25.5,101279.55,42.63,206926.75
403721,25.5,101280.32,42.64,207448.09
403867,25.49,101279.72,42.61,207317.52
404004,25.49,101279.54,42.62,208498.73
404151,25.48,101279.44,42.62,206667.06
404287,25.47,101279.27,42.62,207972.09
404433,25.48,101280.3,42.6,207709.77
404570,25.48,101279.18,42.59,207187.11
404716,25.47,101280.12,42.6,207187.11
404862,25.47,101281.48,42.6,206926.75
404999,25.47,101279.45,42.57,207972.09
405145,25.47,101279.86,42.59,207972.09
405281,25.46,101279.94,42.57,207056.83
405428,25.47,101279.6,42.59,207840.86
405564,25.46,101279.34,42.57,208366.83
405711,25.46,101277.23,42.58,207972.09
405848,25.48,101280.37,42.58,207972.09
405994,25.48,101280.55,42.57,206407.98
406140,25.47,101278.16,42.57,207709.77
406277,25.47,101280.63,42.57,208103.5
406423,25.48,101279.36,42.58,207840.86
406559,25.48,101279.63,42.57,208366.83
406706,25.48,101278.51,42.57,207840.86
406842,25.48,101279.11,42.57,207578.86
406988,25.47,101277.07,42.56,207317.52
407124,25.48,101279.69,42.55,207056.83
407271,25.48,101280.71,42.56,207709.77
407417,25.48,101279.96,42.56,207972.09
407555,25.48,101279.86,42.55,207972.09
407701,25.48,101279.52,42.57,207448.09
407837,25.47,101278.41,42.55,206537.45
407984,25.48,101280.37,42.55,208235.09
408120,25.47,101278.66,42.55,206667.06
408266,25.47,101279.78,42.57,207187.11
408402,25.48,101280.37,42.55,207840.86
408549,25.48,101279.96,42.56,206278.73
408695,25.47,101278.07,42.55,206537.45
408832,25.47,101277.9,42.55,205763.22
408978,25.47,101280.35,42.55,205378.28
409114,25.47,101280.35,42.54,206667.06
409261,25.47,101281.05,42.54,206020.66
409398,25.46,101278.75,42.54,205763.22
409544,25.47,101279.09,42.54,204485.69
409680,25.47,101279.7,42.57,204739.91
409827,25.47,101280.46,42.58,203098.55
409973,25.48,101280.12,42.59,202598.81
410109,25.47,101279.18,42.58,202848.36
410256,25.49,101279.88,42.6,202474.23
410392,25.49,101281.07,42.6,201853.77
410539,25.49,101279.19,42.62,201483.31
410675,25.49,101281.16,42.64,203098.55
410821,25.49,101280.66,42.65,202848.36
410957,25.49,101279.63,42.66,202723.52
411104,25.49,101280.48,42.66,202598.81
411250,25.49,101278.68,42.68,203474.98
411387,25.49,101280.21,42.69,202349.86
411534,25.48,101279.02,42.71,204739.91
411670,25.48,101278.34,42.74,203223.89
411816,25.48,101280.65,42.73,203098.55
411953,25.48,101280.81,42.74,204232.06
412099,25.48,101280.71,42.75,204358.78
412235,25.47,101279.95,42.76,204232.06
412382,25.47,101278.33,42.77,203726.7
412528,25.47,101280.45,42.79,204739.91
412664,25.47,101277.98,42.77,204358.78
412811,25.47,101280.71,42.79,204867.28
412947,25.47,101280.7,42.82,204358.78
413094,25.46,101280.28,42.8,205634.75
413231,25.47,101280.71,42.8,205506.44
413377,25.47,101279.1,42.81,204358.78
413513,25.47,101278.5,42.84,204994.78
413660,25.48,101280.81,42.84,205763.22
413796,25.48,101281.48,42.83,205122.45
413942,25.47,101279.52,42.84,205891.86
414089,25.47,101280.98,42.85,206020.66
414225,25.48,101280.3,42.84,205763.22
414371,25.47,101279.34,42.84,205250.28
414508,25.47,101278.92,42.84,205891.86
414654,25.47,101280.11,42.86,205634.75
414790,25.47,101280.46,42.84,206278.73
414937,25.48,101280.37,42.85,204994.78
415074,25.47,101280.98,42.84,205122.45
415220,25.48,101280.21,42.84,204612.7
415367,25.49,101281.91,42.84,204358.78
415503,25.48,101279.7,42.85,206278.73
415649,25.48,101279.02,42.84,206020.66
415785,25.47,101280.29,42.85,204612.7
415932,25.47,101278.59,42.83,204739.91
416068,25.48,101281.23,42.84,206278.73
416215,25.48,101280.03,42.85,205250.28
416351,25.48,101281.05,42.85,205634.75
416497,25.47,101279.95,42.83,205378.28
416633,25.47,101281.14,42.85,206407.98
416780,25.46,101279.51,42.84,205763.22
416927,25.46,101280.19,42.82,204994.78
417063,25.45,101278.81,42.83,206020.66
417210,25.45,101279.33,42.83,206796.81
417346,25.45,101278.89,42.8,206149.61
417492,25.46,101281.2,42.82,206278.73
417629,25.46,101282.55,42.82,206149.61
417775,25.46,101281.11,42.82,207578.86
417911,25.46,101278.99,42.82,206796.81
418058,25.46,101278.82,42.81,206796.81
418204,25.46,101277.64,42.79,206667.06
418340,25.47,101280.88,42.79,206667.06
418487,25.45,101276.52,42.8,207056.83
418624,25.47,101279.52,42.8,206667.06
418770,25.48,101280.03,42.78,206796.81
418907,25.48,101279.7,42.79,206537.45
419053,25.47,101279.61,42.8,205250.28
419189,25.47,101278.75,42.79,205506.44
419336,25.48,101280.89,42.76,206796.81
419472,25.48,101279.8,42.77,205891.86
419618,25.48,101281.23,42.78,206796.81
419765,25.48,101279.8,42.77,205763.22
419901,25.47,101278.25,42.79,206020.66
420047,25.48,101280.55,42.76,206278.73
420184,25.48,101280.98,42.76,207578.86
420330,25.47,101277.81,42.76,206407.98
420467,25.47,101281.14,42.76,206926.75
420614,25.46,101278.59,42.77,207448.09
420750,25.47,101280.02,42.77,207056.83
420896,25.46,101279.44,42.74,206796.81
421043,25.46,101280.45,42.74,205634.75
421179,25.46,101278.73,42.75,207056.83
421325,25.46,101279.0,42.74,206278.73
421462,25.46,101279.07,42.74,206796.81
421608,25.47,101278.84,42.74,206020.66
421744,25.46,101279.16,42.74,206149.61
421891,25.46,101280.94,42.74,206278.73
422027,25.45,101280.09,42.76,206278.73
422173,25.45,101279.41,42.73,206278.73
422310,25.46,101280.52,42.75,205891.86
422457,25.45,101279.59,42.73,207187.11
422603,25.46,101281.3,42.76,206926.75
422739,25.48,101282.07,42.76,206796.81
422886,25.47,101279.61,42.74,206537.45
423022,25.48,101279.18,42.75,207840.86
423169,25.48,101279.29,42.76,207840.86
423305,25.48,101280.63,42.75,207187.11
423451,25.48,101280.37,42.72,206537.45
423587,25.49,101279.63,42.74,206667.06
423734,25.49,101279.79,42.74,204612.7
423880,25.49,101280.04,42.74,202598.81
424016,25.48,101279.88,42.74,202973.39
424164,25.49,101280.22,42.75,202474.23
424300,25.49,101278.94,42.73,201977.56
424446,25.5,101279.39,42.74,200746.44
424583,25.49,101279.03,42.74,199772.31
424729,25.49,101279.2,42.75,198807.56
424865,25.49,101278.52,42.74,200380.05
425012,25.48,101278.95,42.72,201360.13
425158,25.48,101278.52,42.72,201114.2
425294,25.5,101281.08,42.74,200502.02
425441,25.48,101280.12,42.7,200991.47
425577,25.48,101277.83,42.7,200991.47
425723,25.49,101279.88,42.71,202101.5
425860,25.49,101278.85,42.72,201730.13
426006,25.5,101281.42,42.72,201977.56
426143,25.49,101279.63,42.71,202101.5
426290,25.49,101280.21,42.71,201114.2
426436,25.49,101280.38,42.7,202225.58
426572,25.47,101278.07,42.71,199530.25
