timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
2026-02-14 18:36:14,23.72,1012.89,59.76,101205.77
2026-02-14 18:36:20,23.69,1012.89,58.01,107857.59
2026-02-14 18:36:25,23.72,1012.92,57.93,104362.01
2026-02-14 18:36:37,23.64,1012.87,58.56,99669.07
2026-02-14 18:36:42,23.72,1012.90,58.63,100372.48
2026-02-14 18:36:54,23.69,1012.93,59.34,97728.57
2026-02-14 18:36:59,23.71,1012.91,59.50,98178.33
2026-02-14 18:37:04,23.74,1012.91,59.57,98689.28
2026-02-14 18:37:17,23.65,1012.78,59.84,98632.25
2026-02-14 18:37:22,23.70,1012.89,59.75,98918.08
2026-02-14 18:37:31,23.65,1012.89,59.76,98689.28
2026-02-14 18:37:38,23.55,1012.90,59.80,89604.48
2026-02-14 18:37:43,23.71,1012.89,59.82,98461.54
2026-02-14 18:37:48,23.70,1012.90,59.67,99321.05
2026-02-14 18:38:04,23.62,1012.78,60.08,96676.74
2026-02-14 18:38:17,23.62,1012.78,59.43,99032.88
2026-02-14 18:38:22,23.58,1012.89,59.26,90651.56
2026-02-14 18:38:27,23.72,1012.88,59.27,100490.68
2026-02-14 18:38:32,23.69,1012.77,59.33,100254.55
2026-02-14 18:38:38,23.69,1012.73,59.32,101567.15
2026-02-14 18:38:53,23.49,1012.87,59.51,90459.36
2026-02-14 18:39:07,23.63,1012.88,59.31,100609.16
2026-02-14 18:39:15,23.64,1012.88,59.29,100846.96
2026-02-14 18:39:20,23.56,1012.91,59.22,91428.57
2026-02-14 18:39:26,23.61,1012.79,59.52,99436.78
2026-02-14 18:39:36,23.68,1012.93,59.75,97393.95
2026-02-14 18:39:46,23.62,1012.90,59.71,98632.25
2026-02-14 18:39:51,23.55,1012.90,59.28,90651.56
2026-02-14 18:40:06,23.71,1012.79,59.15,100609.16
2026-02-14 18:40:12,23.68,1012.87,59.33,99843.99
2026-02-14 18:40:25,23.61,1012.75,59.83,97728.57
2026-02-14 18:40:35,23.61,1012.77,60.00,97560.98
2026-02-14 18:40:40,23.70,1012.78,59.81,98803.55
2026-02-14 18:40:45,23.61,1012.89,59.82,90363.57
2026-02-14 18:40:58,23.61,1012.74,59.66,99785.62
